城市名称,山名
七台河',南山公园Nan Mountain Park'
三明',福建尤溪山里陈酒坊'
三门峡',仰韶仙门山景区'
上海',上海辰山植物园Shanghai Chenshan Botanical Garden'
东莞',水濂山森林公园Shuilian Mountain Forest Park'
中卫',白银平川红山寺石窟Baiyin Pinchuan Hongshan Temple Grottoes'
中山',云梯山花海Yunti Mountain Flower Sea'
临沂',天宝山'
临沧',干巴山Ganba Mountain'
丹东',帽盔山公园Maokuishan Park'
乌兰察布',大红山'
乌鲁木齐',南山国家森林公园Nan Mountain National Forest Park'
乐山',凉山第一寨'
九江',庐山瀑布Lushan Waterfall'
伊春',梅花山国家森林公园Meihuashan National Forest Park'
伊犁',伊犁天山花海景区'
佳木斯',南山Nan Mountain'
信阳',金兰山'
克孜勒苏柯尔克孜',白沙山-白沙湖景区Baisha Mountain'
克拉玛依',独山子大峡谷Dushanzida Canyon'
六安',大别山Dabie Mountains'
六盘水',梅花山梦幻激情谷'
兰州',徐家山'
兴安盟',黑山头'
内江',翔龙山摩崖石刻Xianglong Hill Cliff'
包头',莲花山景区Lianhua Mountain Sceneic Area'
北京',香山公园Fragrant Hills Park'
北海',鳄鱼山'
十堰',牛头山森林公园Niutoushan Forest Park'
南京',紫金山山顶公园Shanding Park'
南充',白云山'
南宁',花山'
南通',剑山The Sword Mountain'
南阳',伏牛山地质公园'
博尔塔拉',科山观松'
厦门',大屏山郊野公园Dapingshan Jiaoye Park'
双鸭山',南山风景区Nan Mountain Sceneic Area'
台州',松岩山Songyan Mountain'
吉安',花果山Huaguo Mountain'
吉林市',舒兰亮甲山旅游风景区'
吐鲁番',天山红河谷景区Tianshan Honghegu Sceneic Area'
吕梁',文水西山凤凰公园'
吴忠',牛首山旅游景区Niushoushanlvyou Sceneic Area'
呼伦贝尔',达永山景区Dayong Mountain Sceneic Area'
和田',普鲁火山Puluhuo Mountain'
咸宁',潜山国家森林公园Laoshan National Park'
咸阳',小灵山道观'
哈密',天山之夏狩猎场Kumul Tianshan Zhixia Hunting Ground'
哈尔滨',凤凰山国家森林公园Phoenix Mountain National Forest Park'
商丘',僖山景区'
商洛',天竺山国家森林公园'
喀什',慕士塔格冰山'
嘉兴',九龙山国家森林公园Jiulongshan National Forest Park'
嘉峪关',黑山摩崖石刻Heishan Cliff Carvings'
四平',二龙湖玫瑰山Erlong Lake Rose Mountain'
固原',无量山石窟Wuliangshan Grottoes'
塔城',乌苏泥火山景区Wusuni Volcano Scenic Area'
大兴安岭',伊勒呼里山'
大同',七峰山Qifeng Mountain'
大连',小黑山森林公园Xiaohei Mountain Forest Park'
天门',佛祖山Buddha Mountain'
太原',太山Tai Mountain'
威海',西霞口神雕山野生动物园Shendiao Wild Animal Nature Reserve'
娄底',大乘山Dacheng Mountain'
宁波',四明山杖锡风景区Siming Mountain Zhangxi Scenic Area'
安庆',二祖山'
安康',凤凰山'
安阳',林州太行黄花山Linzhou Huanghua Mountain'
安顺',岚山景区'
定西',首阳山'
宜宾',筠连古楼山'
宜昌',宜昌东山公园'
宜春',明月山天沐温泉度假村Mingyue Mountain Tianmu Hot Spring Resort'
宣城',旵山头'
宿州',君保山前'
宿迁',三台山森林公园-菩提寺(环山路)San Tai Shan Senlin Gongyuan-Puti Temple (huanshanlu)'
屯昌',卧龙山Wolong Mountain'
岳阳',玉笥山Yusi Mountain'
崇左',左江花山'
巢湖',高林山'
巴中',空山天盆风景区'
巴彦淖尔',"巴彦淖尔市乌拉山林场Wula Mountain Forest Farm, Bayan Nur City'"
巴音郭楞',阿尔金山'
常德',皇姑山Huanggu Mountain'
平顶山',香山普门禅寺Fragrance Hill'
广元',米仓山大峡谷旅游景区'
广州',广州二龙山薰衣草森林世界'
庆阳',潜夫山森林公园Qianfu Mountain Forest Park'
延安',凤凰山Phoenix Hill (Fenghuang Shan)'
延边',长白山传奇小镇'
张家口',小五台山自然保护区Xiaowutaishan Natural Reserve'
张家界',天门山山门'
张掖',祁连山自然保护区'
徐州',华山水世界亲子探险乐园'
忻州',岩山寺'
怀化',凤凰山Phoenix Mountain'
怒江',碧罗雪山Biluo Jokul'
恩施',鸡公山森林公园'
惠州',莲花山'
成都',青城山Qingcheng Mountain'
扬州',观音山Guanyin Mountain'
承德',承德神龙山'
抚州',曹山景区'
抚顺',云帽峰（台沟山庄）Yunmao Peak (Taigou Villa)'
拉萨',药王山Yaowang Mountain'
揭阳',大北山水库Dabeishan Reservoir'
文山',老山主峰Main Peak of Laoshan Mountain'
新乡',方山Fangshan Scenic Area'
无锡',舜过山森林公园'
日喀则',乃钦康桑雪山冰川旅游区Gajizhuorong Shengtai Lvyou Tiyan Base'
日照',七连山风景区Qilian Mountain Scenic Area'
昆明',圆通山Yuantong Mountain'
昌吉',鸣沙山'
昌江',斧头山Futou Mountain'
昭通',昭阳区守望乡宋家山'
晋城',珏山Jueshan Mountain'
普洱',哀牢山森林旅游区Ailaoshan Forest Tourist Area'
景德镇',邑山窑'
曲靖',诸葛山'
本溪',青云山风景区'
来宾',合山怀集风景区'
松原',长山明珠园Mingzhuyuan'
林芝',米拉山口Mila Pass'
柳州',九万山'
桂林',书童山Shutongshan'
梅州',神光山国家森林公园Guangdong Shenguangshan Forest Park'
楚雄州',武定狮子山Wudingshizi Mountain'
榆林',白云山Baiyun Mountain'
武功山',武功山国家级风景区-玉皇殿'
武威',红崖山水库Hongyashan Reservoir'
武汉',珞珈山Luojia Mountain'
毕节',茶山'
永州',舜皇山国家森林公园Shunhuangshan National Forest Park'
汉中',午子山Wuzi Mountain'
汕头',潮阳西环山森林公园'
汕尾',天子山农业公园Tianzishan Agricultural Park'
江门',北峰山国家森林公园'
沈阳',辉山风景区Hui Mountain'
沧州',泰山行宫Taishan Palace'
河池',九龙山'
河源',霍山风景区Heyuan Longchuan Huoshan'
泉州',良山樱花观赏园'
泰安',腊山'
泸州',三华山风景区Mt. Sanhua Scenic Resort'
洛阳',老君山景区Luoyang Laojun Mountain'
济南',玫瑰翠屏山旅游区'
济宁',孔府铁山园Kong Mansion Tieshan Park'
济源',黛眉山地质公园Daimeishan Dizhi Park'
海口',雷琼海口火山群世界地质公园Leiqiong UNESCO Global Geopark'
淄博',淄博傅山自然地质博物馆'
淮北',相山公园Xiangshan Mountain Forest Park'
淮安',清远笔架山旅游度假区Qingyuan Bijiashan Canyon Drifting'
清远',九龙山景区Jiulong Mountains Scenic Area'
温州',华山冰雪世界'
渭南',道场山·万寿禅寺Daochang Mountain Wangshou Temple'
湖州',屯粮山Tunliang Mountain'
湘潭',霞山观海长廊Sea Viewing Promenade'
湘西',神山森林公园Shenshan National Forest Park'
湛江',会仙山'
滁州',诸城竹山'
滨州',石壁山'
潍坊',明山草堂Mingshan Thatched Cottage'
潮州',艾山'
澄迈',太行山'
濮阳',山庄码头'
烟台',大容山森林公园Darong Mountain Forest Park'
焦作',金山原始森林'
牡丹江',四大佛山旅游风景区Four Buddha Mountain Tourism Scenic Area'
玉林',雅拉雪山观景台'
玉溪',兴隆山黄榆林'
珠海',抚松北山公园'
琼中',古龙山峡谷群风景区'
琼海',北峰山森林公园Beifeng Mountain Forest Park'
甘孜',瓦屋山峡谷漂流'
白城',避暑山庄罗家园'
白山',小客龙山文化遗址Xiaokelong Mountain Culture Ruins'
百色',石河子南山风景区Shihezinan Mountain Sceneic Area'
益阳',武山湖Wushan Lake'
眉山',牛岗山公园'
石嘴山',黄连山Huanglian Mountain Nature Reserve'
石家庄',位山黄河公园'
石河子',荣县白塔山Rongxianbaita Mountain'
神农架',静山夕阳观景处'
福州',孔雀山'
红河',历山舜王庙'
聊城',萍乡武功山云顶景区'
自贡',青龙山公园'
苏州',涂山Tu Mountain'
莱芜',东山植物园Shenzhou Dong Shan Zhiwu Park'
菏泽',四明山国家森林公园Simingshan Forest Park'
萍乡',紫微山国家森林公园Ziwei Mountain National Forest Park'
营口',天池山'
蚌埠',西双版纳猴山Sipsongpanna Monkey Mountain'
衡水',华山Mount Hua'
衡阳',大桂山'
衢州',龙椅山植物园Longyi Mountain Botanical Garden'
襄阳',云山渔谷'
西双版纳',砧子山'
西安',龙山公园Longshan Park (Northeast Gate)'
贵港',首山公园Shoushan Park'
资阳',文峰山文化旅游景区'
赣州',北固山森林公园'
赤峰',观音山Guanyin Mountain Tourist Scenic Area'
辽源',狮子山Shizi Mountain'
辽阳',太行山脉'
达州',念青唐古拉山'
连云港',南山风景名胜区'
通辽',少室山景区The Shaoshi Mountain Scenic Area'
遂宁',龙华山Longhua Mountain'
邢台',山顶公园Peak Park'
那曲',铁山坪森林公园Tieshanping Forest Park'
邵阳',调兵山公园'
郑州',龟山生态园Gui Mountain Ecological Park'
郴州',铜陵螺丝山Tonglingluosi Mountain'
鄂尔多斯',贺兰山岩画Helan Mountain Rock Painting'
重庆',平顶山火山群Pingdingshan volcanic group'
铁岭',沩山风景名胜区WeiShan Mountain Scenic Resort'
铜川',灵空山Lingkong Mountain'
铜陵',马鞍山林场'
银川',十万大山国家森林公园Shiwan Great Mountain National Forest Park'
锡林郭勒盟',狮脑山公园Shinaoshan Park'
长沙',天山托木尔森林公园Tianshan Tuomu''er Forest Park'
长治',阿尔泰山A''er Tai Mountain'
长白山',巴朗山垭口Balang Mountain Pass'
防城港',冈底斯山'
阳泉',香山'
阿克苏',吊罗山国家森林公园Diaoluo Mountain National Forest Park'
阿勒泰',大洪山风景名胜区Dahong Mountain Scenic Spot'
阿坝',金凤山'
阿里',小鱼山公园Xiaoyushan Park'
陇南',千山仙人台国家森林公园'
陵水',韶石山Shaoshishan'
随州',马鞍山马钢盆山Ma''anshan Magangpen Mountain'
雅安',嵖岈山风景区Chaya Mountain'
青岛',八楞山'
鞍山',淇县朝阳山景区Chaoyang Temple'
韶关',团城山公园Tuanchengshan Park'
马鞍山',火山堰塞湖观光区'
驻马店',金钟山'
鸡西',都匀东山公园Dongshan Park'
鹤壁',山地旅游体验馆'
黄石',蛇洞山-碾子山地质公园Shedong Shan-Nianzi Shan Dizhi Park'
黑河',梅花山'
黔东南',
黔南',
黔西南',
齐齐哈尔',
龙岩',
