省份,城市,City,地方本级一般公共预算收入,地方一般公共预算支出,科学技术支出,教育支出
北京市,北京市,Beijing,61810970,79716333,5219079,12279032
天津市,天津市,Tianjin,20275112,32804209,770293,4917886
河北省,  石家庄市, Shijiazhuang,7378942,12748334,255005,2551176
河北省,  唐山市, Tangshan,5814346,10015337,121353,1830022
河北省,  秦皇岛市, Qinhuangdao,1725315,3781518,20940,639980
河北省,  邯郸市, Handan,3760253,8716485,116781,1833098
河北省,  邢台市, Xingtai,2144209,6417403,73699,1297743
河北省,  保定市, Baoding,3699767,14206176,206846,2180908
河北省,  张家口市, Zhangjiakou,1803721,6940043,39819,944813
河北省,  承德市, Chengde,1339625,4696114,30526,864835
河北省,  沧州市, Cangzhou,3427282,7309062,64472,1670410
河北省,  廊坊市, Langfang,3202152,5954637,59822,1312948
河北省,  衡水市, Hengshui,1517716,4403376,63873,768701
山西省,  太原市, Taiyuan,4492358,7772629,409182,1070737
山西省,  大同市, Datong,1940548,4645991,5039,618340
山西省,  阳泉市, Yangquan,830731,1682091,13964,251855
山西省,  长治市, Changzhi,3150771,5726231,19699,645744
山西省,  晋城市, Jincheng,2771908,4312389,36995,464313
山西省,  朔州市, Shuozhou,1503092,2924664,14263,423864
山西省,  晋中市, Jinzhong,1945678,4395022,53888,619498
山西省,  运城市, Yuncheng,1246367,5191726,22760,846558
山西省,  忻州市, Xinzhou,1476690,4557528,4780,589475
山西省,  临汾市, Linfen,1988912,5441050,6295,751146
山西省,  吕梁市, Lvliang,3315999,6229776,14290,950194
内蒙古自治区,  呼和浩特市, Hohhot,2380592,5929730,82136,678760
内蒙古自治区,  包头市, Baotou,2005459,4749991,61010,652580
内蒙古自治区,  乌海市, Wuhai,856955,1719272,17673,189689
内蒙古自治区,  赤峰市, Chifeng,1213315,6782607,33464,1032714
内蒙古自治区,  通辽市, Tongliao,1002595,5113020,19109,675818
内蒙古自治区,  鄂尔多斯市, Erdos,9099888,11195007,204900,1229423
内蒙古自治区,  呼伦贝尔市, Hulunbuir,1106262,5763215,18453,621458
内蒙古自治区,  巴彦淖尔市, Bayannur,801473,3647315,26112,357765
内蒙古自治区,  乌兰察布市, Ulanqab,679208,4158282,29394,425876
辽宁省,  沈阳市, Shenyang,8008539,10840553,349157,1211684
辽宁省,  大连市, Dalian,7502361,10135047,136146,1194208
辽宁省,  鞍山市, Anshan,1603774,3104600,10118,375256
辽宁省,  抚顺市, Fushun,669268,1779568,2400,210599
辽宁省,  本溪市, Benxi,800732,1721254,2840,164844
辽宁省,  丹东市, Dandong,746695,2395131,4855,325907
辽宁省,  锦州市, Jinzhou,1142927,2789192,15338,331509
辽宁省,  营口市, Yingkou,1370878,2511315,5438,277063
辽宁省,  阜新市, Fuxin,474199,1736015,5173,215782
辽宁省,  辽阳市, Liaoyang,798185,2129469,2294,202387
辽宁省,  盘锦市, Panjin,1296403,2100965,15861,200098
辽宁省,  铁岭市, Tieling,516094,2382291,5186,317554
辽宁省,  朝阳市, Chaoyang,826681,3183135,2535,468707
辽宁省,  葫芦岛市, Huludao,682111,2335517,-164,311259
吉林省,  长春市, Changchun,5765154,10749675,157653,1480272
吉林省,  吉林市, Jilin,852936,4111089,10177,524065
吉林省,  四平市, Siping,403184,2407889,3194,286250
吉林省,  辽源市, Liaoyuan,194234,1351873,5080,175235
吉林省,  通化市, Tonghua,388204,2015575,10021,259710
吉林省,  白山市, Baishan,284756,1767602,3958,221728
吉林省,  松原市, Songyuan,461102,3109263,5272,399127
吉林省,  白城市, Baicheng,285667,2893478,12143,306808
黑龙江省,  哈尔滨市, Harbin,3130744,10806970,115925,1278783
黑龙江省,  齐齐哈尔市, Qiqihar,1121713,6058974,27713,617773
黑龙江省,  鸡西市, Jixi,496630,2376472,13984,209444
黑龙江省,  鹤岗市, Hegang,322231,1368999,12511,138206
黑龙江省,  双鸭山市, Shuangyashan,434635,1984343,6120,187415
黑龙江省,  大庆市, Daqing,1700789,3689535,23615,475914
黑龙江省,  伊春市, Yichun,283492,2256528,8942,167710
黑龙江省,  佳木斯市, Jiamusi,771305,3700794,16853,310503
黑龙江省,  七台河市, Qitaihe,343170,1035681,3851,100919
黑龙江省,  牡丹江市, Mudanjiang,882856,3518609,21324,313894
黑龙江省,  黑河市, Heihe,524605,2906825,4177,228381
黑龙江省,  绥化市, Suihua,951250,5133785,16426,546990
上海市,上海市,Shanghai,83125008,96385132,5280521,12061443
江苏省,  南京市, Nanjing,16199827,18386959,1126386,3409645
江苏省,  无锡市, Wuxi,11954222,13901893,698997,2198255
江苏省,  徐州市, Xuzhou,5459594,10568958,248751,2194448
江苏省,  常州市, Changzhou,6802990,8547676,556733,1517266
江苏省,  苏州市, Suzhou,24568118,26212766,2698628,4699162
江苏省,  南通市, Nantong,6801587,11809328,572045,1910722
江苏省,  连云港市, Lianyungang,2560185,5746961,112317,1042334
江苏省,  淮安市, Huai'an,3166073,7173479,186115,1037664
江苏省,  盐城市, Yancheng,4827332,12282290,293065,1626309
江苏省,  扬州市, Yangzhou,3475704,7112383,170801,1074398
江苏省,  镇江市, Zhenjiang,3207058,5339472,111221,768666
江苏省,  泰州市, Taizhou,4397048,6974206,154040,891359
江苏省,  宿迁市, Suqian,3020031,6418370,189396,1058403
浙江省,  杭州市, Hangzhou,26168107,26362270,2429074,5601784
浙江省,  宁波市, Ningbo,17858565,22350944,1821641,3177652
浙江省,  温州市, Wenzhou,6226842,11759428,438380,2767484
浙江省,  嘉兴市, Jiaxing,6320216,8269900,547018,1635936
浙江省,  湖州市, Huzhou,4104988,6069736,310081,1099983
浙江省,  绍兴市, Shaoxing,5787476,7786417,486267,1584050
浙江省,  金华市, Jinhua,5257962,8484768,333436,1652384
浙江省,  衢州市, Quzhou,2042082,6064818,247098,762259
浙江省,  舟山市, Zhoushan,1935136,3765089,126758,429876
浙江省,  台州市, Taizhou,4942788,8366080,316323,1919376
浙江省,  丽水市, Lishui,1860556,6536540,194878,973785
安徽省,  合肥市, Hefei,9296276,14113371,2460306,2521680
安徽省,  芜湖市, Wuhu,4142847,6192234,781803,955462
安徽省,  蚌埠市, Bengbu,1797490,3692074,244808,721155
安徽省,  淮南市, Huainan,1305008,3160411,53397,546601
安徽省,  马鞍山市, Ma'anshan,2083746,3203300,169931,461550
安徽省,  淮北市, Huaibei,1048262,2269902,84021,422291
安徽省,  铜陵市, Tongling,1120992,2139497,158463,305727
安徽省,  安庆市, Anqing,1935385,5483011,140840,1017705
安徽省,  黄山市, Huangshan,842999,2217283,37790,261919
安徽省,  滁州市, Chuzhou,2981611,5338487,178306,910875
安徽省,  阜阳市, Fuyang,1947116,6489756,103016,1339438
安徽省,  宿州市, Suzhou,1617635,5019666,79675,1031117
安徽省,  六安市, Lu'an,1736062,6088838,99220,1051079
安徽省,  亳州市, Bozhou,1600426,4129247,69772,881656
安徽省,  池州市, Chizhou,921303,2249200,38475,302270
安徽省,  宣城市, Xuancheng,1979220,3684305,145330,498292
福建省,  福州市, Fuzhou,7540813,10049040,185070,2126844
福建省,  厦门市, Xiamen,9321359,10846541,616598,2037659
福建省,  莆田市, Putian,1628122,2663182,15954,788971
福建省,  三明市, Sanming,1179747,3614366,19842,769901
福建省,  泉州市, Quanzhou,5807911,8502650,249386,2140000
福建省,  漳州市, Zhangzhou,2792954,5219874,33738,1165556
福建省,  南平市, Nanping,1133693,3663028,32693,622457
福建省,  龙岩市, Longyan,1726975,3766525,93238,807233
福建省,  宁德市, Ningde,2098822,4049201,57855,835926
江西省,  南昌市, Nanchang,5001818,9255526,371957,1589642
江西省,  景德镇市, Jingdezhen,902999,2399485,77450,439094
江西省,  萍乡市, Pingxiang,1121964,3256737,90374,539245
江西省,  九江市, Jiujiang,3224012,7515195,153131,1267076
江西省,  新余市, Xinyu,916115,2073441,49474,315222
江西省,  鹰潭市, Yingtan,1085582,2498119,90819,347428
江西省,  赣州市, Ganzhou,3195898,10936345,380400,2304377
江西省,  吉安市, Ji'an,2048234,6472564,242265,1232285
江西省,  宜春市, Yichun,2900185,7189713,351686,1249995
江西省,  抚州市, Fuzhou,1416353,5388588,248977,980158
江西省,  上饶市, Shangrao,2706784,8147727,211785,1496841
山东省,  济南市, Jinan,10608223,13652948,465282,2452843
山东省,  青岛市, Qingdao,13378595,17187995,427853,3335769
山东省,  淄博市, Zibo,3953042,5503295,82100,1188470
山东省,  枣庄市, Zaozhuang,1810463,3520505,33509,763735
山东省,  东营市, Dongying,2846259,3817284,31723,851869
山东省,  烟台市, Yantai,6738683,9527296,242687,1517698
山东省,  潍坊市, Weifang,6083166,8893794,159318,2164704
山东省,  济宁市, Jining,4750066,7827901,87018,1948934
山东省,  泰安市, Tai'an,2392392,4633850,57930,1061754
山东省,  威海市, Weihai,2373823,4304436,88591,910923
山东省,  日照市, Rizhao,1953369,3201460,121130,699631
山东省,  临沂市, Linyi,4457688,9201573,99935,2299936
山东省,  德州市, Dezhou,2506002,6228522,155138,1093362
山东省,  聊城市, Liaocheng,2446182,5356650,10521,1113241
山东省,  滨州市, Binzhou,2921365,5271088,64292,852026
山东省,  菏泽市, Heze,3165081,7349896,45078,1485109
河南省,  郑州市, Zhengzhou,11658481,15196232,882745,2517464
河南省,  开封市, Kaifeng,1538644,4142175,203864,723188
河南省,  洛阳市, Luoyang,4042870,6666006,423702,1193503
河南省,  平顶山市, Pingdingshan,2371270,4245014,141767,781923
河南省,  安阳市, Anyang,2356811,4475833,118429,873456
河南省,  鹤壁市, Hebi,803356,1660966,70619,289969
河南省,  新乡市, Xinxiang,2415059,4898824,176565,931327
河南省,  焦作市, Jiaozuo,1435513,3024378,89926,499559
河南省,  濮阳市, Puyang,1185536,3300978,87114,661660
河南省,  许昌市, Xuchang,2118676,3481093,139468,734236
河南省,  漯河市, Luohe,1363124,2640976,139700,445427
河南省,  三门峡市, Sanmenxia,1406884,2830249,135862,462569
河南省,  南阳市, Nanyang,2893755,8166810,193404,1862903
河南省,  商丘市, Shangqiu,2009419,5618173,178504,1029111
河南省,  信阳市, Xinyang,1416155,6469220,252353,1198287
河南省,  周口市, Zhoukou,2022715,7309928,149068,1301832
河南省,  驻马店市, Zhumadian,2112851,6557146,373992,1141113
湖北省,  武汉市, Wuhan,16011990,22040782,1813716,3394781
湖北省,  黄石市, Huangshi,1693750,3221089,92432,535675
湖北省,  十堰市, Shiyan,1394220,4581451,130267,651749
湖北省,  宜昌市, Yichang,2689866,6801408,234028,867230
湖北省,  襄阳市, Xiangyang,2655605,7049788,115544,1032788
湖北省,  鄂州市, Ezhou,901970,1659150,62019,243462
湖北省,  荆门市, Jingmen,1227876,3100377,103497,402049
湖北省,  孝感市, Xiaogan,1625220,4592158,127185,654417
湖北省,  荆州市, Jingzhou,1687521,5621289,174469,780419
湖北省,  黄冈市, Huanggang,1777572,6463206,112730,1127647
湖北省,  咸宁市, Xianning,1069706,3205533,73348,500971
湖北省,  随州市, Suizhou,610859,2159515,30100,328524
湖南省,  长沙市, Changsha,12270734,16268337,841695,2993524
湖南省,  株洲市, Zhuzhou,1923224,5924300,427348,776254
湖南省,  湘潭市, Xiangtan,1240440,2857527,170598,456344
湖南省,  衡阳市, Hengyang,1956069,6630047,212172,1163689
湖南省,  邵阳市, Shaoyang,1337539,6995970,146164,1178803
湖南省,  岳阳市, Yueyang,2001534,6324823,186169,873304
湖南省,  常德市, Changde,2022195,6411495,135172,93644
湖南省,  张家界市, Zhangjiajie,358793,2223796,31974,294905
湖南省,  益阳市, Yiyang,1063955,4172543,123155,681766
湖南省,  郴州市, Chenzhou,1880269,5608157,272600,999385
湖南省,  永州市, Yongzhou,1632983,5754568,147071,1090493
湖南省,  怀化市, Huaihua,1241780,5603802,98771,988706
湖南省,  娄底市, Loudi,917022,3604506,48915,694276
广东省,  广州市, Guangzhou,19450562,29716481,1949553,6433879
广东省,  韶关市, Shaoguan,1011479,3684253,26088,640336
广东省,  深圳市, Shenzhen,41129194,50124309,4549353,10014474
广东省,  珠海市, Zhuhai,4825086,6718565,576528,1138161
广东省,  汕头市, Shantou,1330666,3724613,36172,1013873
广东省,  佛山市, Foshan,8004626,9827303,573562,2124155
广东省,  江门市, Jiangmen,2771716,4552353,127247,901053
广东省,  湛江市, Zhanjiang,1556288,5453740,16406,1274419
广东省,  茂名市, Maoming,1454807,5137838,18874,1409128
广东省,  肇庆市, Zhaoqing,1765644,4169099,63640,879036
广东省,  惠州市, Huizhou,4732959,7267335,212092,1513988
广东省,  梅州市, Meizhou,927173,4251614,22008,920739
广东省,  汕尾市, Shanwei,665197,2664381,30353,597705
广东省,  河源市, Heyuan,729086,3336114,19775,744402
广东省,  阳江市, Yangjiang,787139,2637545,16356,528591
广东省,  清远市, Qingyuan,1519950,4287434,25305,1005843
广东省,  东莞市, Dongguan,8050888,9058541,346120,2336399
广东省,  中山市, Zhongshan,3329847,4658662,295076,962096
广东省,  潮州市, Chaozhou,596674,2017984,10871,471463
广东省,  揭阳市, Jieyang,1011107,3868570,17191,906719
广东省,  云浮市, Yunfu,929295,2570793,23845,548162
广西壮族自治区,  南宁市, Nanning,4008778,8164829,157265,1557888
广西壮族自治区,  柳州市, Liuzhou,1565705,3797137,26641,787578
广西壮族自治区,  桂林市, Guilin,1156705,4891884,57470,827670
广西壮族自治区,  梧州市, Wuzhou,731825,2671432,41557,551209
广西壮族自治区,  北海市, Beihai,854088,1940226,32239,382551
广西壮族自治区,  防城港市, Fangchenggang,601124,1606547,23504,257238
广西壮族自治区,  钦州市, Qinzhou,845997,2743833,38309,647934
广西壮族自治区,  贵港市, Guigang,725910,3266391,41911,763179
广西壮族自治区,  玉林市, Yulin,898924,4053871,52941,1084326
广西壮族自治区,  百色市, Baise,1132433,4948397,60544,884555
广西壮族自治区,  贺州市, Hezhou,470875,2173476,28408,416313
广西壮族自治区,  河池市, Hechi,623627,4060091,49977,788453
广西壮族自治区,  来宾市, Laibin,558177,2334495,30280,426674
广西壮族自治区,  崇左市, Chongzuo,503663,2649910,34398,375554
海南省,  海口市, Haikou,2668655,3695399,56090,550322
海南省,  三亚市, Sanya,1474163,2325017,205916,267415
海南省,  三沙市, Sansha,,,,
海南省,  儋州市, Danzhou,663800,1646104,22845,282617
重庆市,重庆市,Chongqing,24407688,53045603,1025406,8559730
四川省,  成都市, Chengdu,19290570,25868282,1509243,4338623
四川省,  自贡市, Zigong,813829,2976729,21621,444681
四川省,  攀枝花市, Panzhihua,1012291,1758063,8300,259902
四川省,  泸州市, Luzhou,2123769,4727061,16050,901437
四川省,  德阳市, Deyang,1836003,3915120,41266,489522
四川省,  绵阳市, Mianyang,2014694,5775968,174521,883865
四川省,  广元市, Guangyuan,681172,3373335,6898,485214
四川省,  遂宁市, Suining,1136372,3100365,33602,475870
四川省,  内江市, Neijiang,852084,3087009,9912,474399
四川省,  乐山市, Leshan,1596042,3605201,19705,492944
四川省,  南充市, Nanchong,1101962,5564951,13512,1011666
四川省,  眉山市, Meishan,1598389,3692065,17999,499710
四川省,  宜宾市, Yibin,3139945,6636884,99608,1048218
四川省,  广安市, Guang'an,1056675,3472562,6828,703202
四川省,  达州市, Dazhou,1826606,5513858,21312,905450
四川省,  雅安市, Ya'an,787945,2239728,14152,257279
四川省,  巴中市, Bazhong,560663,3397788,11875,591515
四川省,  资阳市, Ziyang,703147,2552252,27173,509522
贵州省,  贵阳市, Guiyang,4462045,7786135,155626,1521332
贵州省,  六盘水市, Liupanshui,1103313,3410850,55171,915051
贵州省,  遵义市, Zunyi,3263669,8250593,64283,1701546
贵州省,  安顺市, Anshun,692490,2993971,59290,592534
贵州省,  毕节市, Bijie,1296380,7083645,47612,1752961
贵州省,  铜仁市, Tongren,722570,4712591,26349,1069471
云南省,  昆明市, Kunming,5580042,8377916,88437,1418778
云南省,  曲靖市, Qujing,1754128,5393171,15155,1205316
云南省,  玉溪市, Yuxi,1347601,2480736,24360,451890
云南省,  保山市, Baoshan,695247,2466781,3947,495342
云南省,  昭通市, Zhaotong,1059199,5754469,6847,1184085
云南省,  丽江市, Lijiang,467721,1752936,5936,267729
云南省,  普洱市, Pu'er,724451,3269699,8152,506296
云南省,  临沧市, Lincang,501883,2681137,8393,487541
西藏自治区,  拉萨市, Lhasa,1091370,4521217,8790,608617
西藏自治区,  日喀则市, Xigazê,219150,4246479,11446,706878
西藏自治区,  昌都市, Qamdo,251752,3148785,2554,577127
西藏自治区,  林芝市, Nyingchi,148818,1702050,3575,194604
西藏自治区,  山南市, Lhoka,200971,2823734,3826,287183
西藏自治区,  那曲市, Nagqu,83503,2553958,6866,498935
陕西省,  西安市, Xi'an,9519208,17304672,644174,2649678
陕西省,  铜川市, Tongchuan,251382,1434508,2776,169009
陕西省,  宝鸡市, Baoji,1025017,4187749,86613,703771
陕西省,  咸阳市, Xianyang,1386286,5297867,31228,751041
陕西省,  渭南市, Weinan,1069047,5644109,26759,871189
陕西省,  延安市, Yan'an,1651259,5079722,20489,647422
陕西省,  汉中市, Hanzhong,525990,4228853,64150,694972
陕西省,  榆林市, Yulin,6618844,10963259,195456,1537755
陕西省,  安康市, Ankang,352230,3884604,12719,651928
陕西省,  商洛市, Shangluo,302939,3151595,7127,483283
甘肃省,  兰州市, Lanzhou,2553279,5029172,77481,787472
甘肃省,  嘉峪关市, Jiayuguan,271068,413353,8207,61212
甘肃省,  金昌市, Jinchang,310148,856228,9174,108120
甘肃省,  白银市, Baiyin,385179,2180933,25295,411744
甘肃省,  天水市, Tianshui,463443,3507949,28019,677370
甘肃省,  武威市, Wuwei,323889,2559835,27157,388964
甘肃省,  张掖市, Zhangye,349019,1967762,30255,287219
甘肃省,  平凉市, Pingliang,373378,2739650,27160,508357
甘肃省,  酒泉市, Jiuquan,557639,2086108,21692,253531
甘肃省,  庆阳市, Qingyang,779310,3477350,30766,602642
甘肃省,  定西市, Dingxi,325995,3349010,46662,621716
甘肃省,  陇南市, Longnan,318998,3504108,36362,527209
青海省,  西宁市, Xining,1440917,4187512,26845,526496
青海省,  海东市, Haidong,354564,2569853,2834,405380
宁夏回族自治区,  银川市, Yinchuan,1977591,4381513,95639,554730
宁夏回族自治区,  石嘴山市, Shizuishan,273459,1320324,25616,192027
宁夏回族自治区,  吴忠市, Wuzhong,395644,2727152,28159,404260
宁夏回族自治区,  固原市, Guyuan,191918,2770717,16050,416848
宁夏回族自治区,  中卫市, Zhongwei,231733,2118580,18963,287584
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,3697888,5040517,31067,744070
新疆维吾尔自治区,  克拉玛依市, Karamay,1105504,1267580,25237,268915
新疆维吾尔自治区,  吐鲁番市, Turpan,682044,1196591,2317,239834
新疆维吾尔自治区,  哈密市, Hami,1075109,1803508,8033,216730
