省份,城市,City,工业化学需氧量排放量,工业氨氮排放量
北京市,北京市,Beijing,1360,26
天津市,天津市,Tianjin,1714,30
河北省,  石家庄市, Shijiazhuang,2197,64
河北省,  唐山市, Tangshan,2558,142
河北省,  秦皇岛市, Qinhuangdao,543,10
河北省,  邯郸市, Handan,401,21
河北省,  邢台市, Xingtai,670,22
河北省,  保定市, Baoding,550,16
河北省,  张家口市, Zhangjiakou,378,25
河北省,  承德市, Chengde,73,26
河北省,  沧州市, Cangzhou,942,32
河北省,  廊坊市, Langfang,164,4
河北省,  衡水市, Hengshui,266,11
山西省,  太原市, Taiyuan,260,9
山西省,  大同市, Datong,,
山西省,  阳泉市, Yangquan,107,16
山西省,  长治市, Changzhi,,
山西省,  晋城市, Jincheng,294,9
山西省,  朔州市, Shuozhou,255,17
山西省,  晋中市, Jinzhong,322,7
山西省,  运城市, Yuncheng,,
山西省,  忻州市, Xinzhou,210,8
山西省,  临汾市, Linfen,60,1
山西省,  吕梁市, Lvliang,,
内蒙古自治区,  呼和浩特市, Hohhot,435,12
内蒙古自治区,  包头市, Baotou,917,31
内蒙古自治区,  乌海市, Wuhai,473,62
内蒙古自治区,  赤峰市, Chifeng,622,19
内蒙古自治区,  通辽市, Tongliao,761,19
内蒙古自治区,  鄂尔多斯市, Erdos,152,5
内蒙古自治区,  呼伦贝尔市, Hulunbuir,520,10
内蒙古自治区,  巴彦淖尔市, B ayannur,220,14
内蒙古自治区,  乌兰察布市, Ulanqab,366,5
辽宁省,  沈阳市, Shenyang,1311,25
辽宁省,  大连市, Dalian,2179,58
辽宁省,  鞍山市, Anshan,728,32
辽宁省,  抚顺市, Fushun,503,9
辽宁省,  本溪市, Benxi,191,7
辽宁省,  丹东市, Dandong,134,7
辽宁省,  锦州市, Jinzhou,529,15
辽宁省,  营口市, Yingkou,428,22
辽宁省,  阜新市, Fuxin,127,5
辽宁省,  辽阳市, Liaoyang,266,8
辽宁省,  盘锦市, Panjin,939,23
辽宁省,  铁岭市, Tieling,272,9
辽宁省,  朝阳市, Chaoyang,174,10
辽宁省,  葫芦岛市, Huludao,561,36
吉林省,  长春市, Changchun,568,13
吉林省,  吉林市, Jilin,2842,100
吉林省,  四平市, Siping,96,2
吉林省,  辽源市, Liaoyuan,329,19
吉林省,  通化市, Tonghua,255,40
吉林省,  白山市, Baishan,,
吉林省,  松原市, Songyuan,488,21
吉林省,  白城市, Baicheng,,
黑龙江省,  哈尔滨市, Harbin,,
黑龙江省,  齐齐哈尔市, Qiqihar,1992,274
黑龙江省,  鸡西市, Jixi,40,2
黑龙江省,  鹤岗市, Hegang,239,67
黑龙江省,  双鸭山市, Shuangyashan,168,15
黑龙江省,  大庆市, Daqing,938,13
黑龙江省,  伊春市, Yichun,39,7
黑龙江省,  佳木斯市, Jiamusi,82,2
黑龙江省,  七台河市, Qittaihe,8,
黑龙江省,  牡丹江市, Mudanjiang,879,9
黑龙江省,  黑河市, Heihe,76,5
黑龙江省,  绥化市, Suihua,898,57
上海市,上海市,Shanghai,,
江苏省,  南京市, Nanjing,1990,42
江苏省,  无锡市, Wuxi,3079,97
江苏省,  徐州市, Xuzhou,1692,143
江苏省,  常州市, Changzhou,2436,111
江苏省,  苏州市, Suzhou,10975,328
江苏省,  南通市, Nantong,4275,103
江苏省,  连云港市, Lianyungang,1492,67
江苏省,  淮安市, Huai'an,998,48
江苏省,  盐城市, Yancheng,6294,208
江苏省,  扬州市, Yangzhou,1334,28
江苏省,  镇江市, Zhenjiang,1420,31
江苏省,  泰州市, Taizhou,1565,41
江苏省,  宿迁市, Suqian,4936,127
浙江省,  杭州市, Hangzhou,3660,48
浙江省,  宁波市, Ningbo,4880,90
浙江省,  温州市, Wenzhou,999,23
浙江省,  嘉兴市, Jiaxing,4591,35
浙江省,  湖州市, Huzhou,1267,21
浙江省,  绍兴市, Shaoxing,14973,239
浙江省,  金华市, Jinhua,1684,25
浙江省,  衢州市, Quzhou,2493,55
浙江省,  舟山市, Zhoushan,894,9
浙江省,  台州市, Taizhou,1145,12
浙江省,  丽水市, Lishui,532,8
安徽省,  合肥市, Hefei,1384,29
安徽省,  芜湖市, Wuhu,776,17
安徽省,  蚌埠市, Bengbu,373,9
安徽省,  淮南市, Huainan,,
安徽省,  马鞍山市, Ma'anshan,1774,74
安徽省,  淮北市, Huaibei,342,15
安徽省,  铜陵市, Tongling,860,58
安徽省,  安庆市, Anqing,563,15
安徽省,  黄山市, Huangshan,493,15
安徽省,  滁州市, Chuzhou,,
安徽省,  阜阳市, Fuyang,656,147
安徽省,  宿州市, Suzhou,145,17
安徽省,  六安市, Lu'an,135,5
安徽省,  亳州市, Bozhou,149,4
安徽省,  池州市, Chizhou,269,14
安徽省,  宣城市, Xuancheng,,
福建省,  福州市, Fuzhou,,
福建省,  厦门市, Xiamen,,
福建省,  莆田市, Putian,1133,21
福建省,  三明市, Sanming,1904,45
福建省,  泉州市, Quanzhou,3907,147
福建省,  漳州市, Zhangzhou,3241,91
福建省,  南平市, Nanping,,
福建省,  龙岩市, Longyan,566,34
福建省,  宁德市, Ningde,,
江西省,  南昌市, Nanchang,2266,92
江西省,  景德镇市, Jingdezhen,905,85
江西省,  萍乡市, Pingxiang,165,7
江西省,  九江市, Jiujiang,2628,68
江西省,  新余市, Xinyu,463,44
江西省,  鹰潭市, Yingtan,272,19
江西省,  赣州市, Ganzhou,2070,200
江西省,  吉安市, Ji'an,1317,228
江西省,  宜春市, Yichun,1446,85
江西省,  抚州市, Fuzhou,1479,54
江西省,  上饶市, Shangrao,1457,64
山东省,  济南市, Jinan,1180,34
山东省,  青岛市, Qingdao,1223,23
山东省,  淄博市, Zibo,2521,63
山东省,  枣庄市, Zaozhuang,1313,31
山东省,  东营市, Dongying,2274,94
山东省,  烟台市, Yantai,1438,36
山东省,  潍坊市, Weifang,3812,48
山东省,  济宁市, Jining,3000,99
山东省,  泰安市, Tai'an,1025,74
山东省,  威海市, Weihai,443,23
山东省,  日照市, Rizhao,2527,45
山东省,  临沂市, Linyi,2634,141
山东省,  德州市, Dezhou,1594,31
山东省,  聊城市, Liaocheng,1136,24
山东省,  滨州市, Binzhou,4514,88
山东省,  菏泽市, Heze,1292,57
河南省,  郑州市, Zhengzhou,598,17
河南省,  开封市, Kaifeng,554,27
河南省,  洛阳市, Luoyang,619,29
河南省,  平顶山市, Pingdingshan,521,21
河南省,  安阳市, Anyang,567,22
河南省,  鹤壁市, Hebi,372,8
河南省,  新乡市, Xinxiang,1012,33
河南省,  焦作市, Jiaozuo,1423,70
河南省,  濮阳市, Puyang,768,23
河南省,  许昌市, Xuchang,613,16
河南省,  漯河市, Luohe,189,5
河南省,  三门峡市, Sanmenxia,177,6
河南省,  南阳市, Nanyang,590,22
河南省,  商丘市, Shangqiu,373,24
河南省,  信阳市, Xinyang,204,7
河南省,  周口市, Zhoukou,546,31
河南省,  驻马店市, Zhumadian,458,23
湖北省,  武汉市, Wuhan,2297,96
湖北省,  黄石市, Huangshi,481,14
湖北省,  十堰市, Shiyan,73,4
湖北省,  宜昌市, Yichang,1581,147
湖北省,  襄阳市, Xiangyang,560,30
湖北省,  鄂州市, Ezhou,135,5
湖北省,  荆门市, Jingmen,589,13
湖北省,  孝感市, Xiaogan,884,56
湖北省,  荆州市, Jingzhou,1571,46
湖北省,  黄冈市, Huanggang,671,16
湖北省,  咸宁市, Xianning,530,11
湖北省,  随州市, Suizhou,135,6
湖南省,  长沙市, Changsha,1996,101
湖南省,  株洲市, Zhuzhou,272,11
湖南省,  湘潭市, Xiangtan,242,19
湖南省,  衡阳市, Hengyang,527,25
湖南省,  邵阳市, Shaoyang,445,14
湖南省,  岳阳市, Yueyang,1227,28
湖南省,  常德市, Changde,656,42
湖南省,  张家界市, Zhangjiajie,277,4
湖南省,  益阳市, Yiyang,363,19
湖南省,  郴州市, Chenzhou,812,36
湖南省,  永州市, Yongzhou,255,9
湖南省,  怀化市, Huaihua,2738,14
湖南省,  娄底市, Loudi,527,46
广东省,  广州市, Guangzhou,2211,37
广东省,  韶关市, Shaoguan,1080,51
广东省,  深圳市, Shenzhen,1040,31
广东省,  珠海市, Zhuhai,,
广东省,  汕头市, Shantou,3109,145
广东省,  佛山市, Foshan,3653,85
广东省,  江门市, Jiangmen,3278,115
广东省,  湛江市, Zhanjiang,1728,43
广东省,  茂名市, Maoming,640,18
广东省,  肇庆市, Zhaoqing,1808,77
广东省,  惠州市, Huizhou,1260,52
广东省,  梅州市, Meizhou,,
广东省,  汕尾市, Shanwei,624,15
广东省,  河源市, Heyuan,223,11
广东省,  阳江市, Yangjiang,435,23
广东省,  清远市, Qingyuan,1770,60
广东省,  东莞市, Dongguan,5279,195
广东省,  中山市, Zhongshan,2284,87
广东省,  潮州市, Chaozhou,328,26
广东省,  揭阳市, Jieyang,539,19
广东省,  云浮市, Yunfu,,
广西壮族自治区,  南宁市, Nanning,2070,66
广西壮族自治区,  柳州市, Liuzhou,1131,28
广西壮族自治区,  桂林市, Guilin,881,36
广西壮族自治区,  梧州市, Wuzhou,,
广西壮族自治区,  北海市, Beihai,2635,63
广西壮族自治区,  防城港市, Fangchenggang,407,11
广西壮族自治区,  钦州市, Qinzhou,1486,27
广西壮族自治区,  贵港市, Guigang,864,20
广西壮族自治区,  玉林市, Yulin,1706,58
广西壮族自治区,  百色市, Baise,872,50
广西壮族自治区,  贺州市, Hezhou,234,37
广西壮族自治区,  河池市, Hechi,522,22
广西壮族自治区,  来宾市, Laibin,1068,47
广西壮族自治区,  崇左市, Chongzuo,1059,22
海南省,  海口市, Haikou,105,7
海南省,  三亚市, Sanya,,
海南省,  三沙市, Sansha,,
海南省,  儋州市, Danzhou,2362,71
重庆市,重庆市,Chongqing,6185,235
四川省,  成都市, Chengdu,1431,32
四川省,  自贡市, Zigong,255,17
四川省,  攀枝花市, Panzhihua,567,37
四川省,  泸州市, Luzhou,1462,48
四川省,  德阳市, Deyang,1018,25
四川省,  绵阳市, Mianyang,859,43
四川省,  广元市, Guangyuan,147,5
四川省,  遂宁市, Suining,258,16
四川省,  内江市, Neijiang,1055,59
四川省,  乐山市, Leshan,1286,40
四川省,  南充市, Nanchong,512,23
四川省,  眉山市, Meishan,600,10
四川省,  宜宾市, Yibin,2391,139
四川省,  广安市, Guang'an,616,19
四川省,  达州市, Dazhou,160,246
四川省,  雅安市, Ya'an,124,7
四川省,  巴中市, Bazhong,39,1
四川省,  资阳市, Ziyang,71,1
贵州省,  贵阳市, Guiyang,578,108
贵州省,  六盘水市, Liupanshui,582,45
贵州省,  遵义市, Zunyi,676,41
贵州省,  安顺市, Anshun,47,4
贵州省,  毕节市, Bijie,361,4
贵州省,  铜仁市, Tongren,,
云南省,  昆明市, Kunming,1158,59
云南省,  曲靖市, Qujing,690,60
云南省,  玉溪市, Yuxi,986,18
云南省,  保山市, Baoshan,656,14
云南省,  昭通市, Zhaotong,141,8
云南省,  丽江市, Lijiang,54,3
云南省,  普洱市, Pu'er,910,26
云南省,  临沧市, Lincang,251,13
西藏自治区,  拉萨市, Lhasa,17,1
西藏自治区,  日喀则市, Xigaze,6,
西藏自治区,  昌都市, Qamdo,,
西藏自治区,  林芝市, Nyingchi,6,
西藏自治区,  山南市, Lhoka,48,
西藏自治区,  那曲市, Nagqu,,
陕西省,  西安市, Xi'an,903,34
陕西省,  铜川市, Tongchuan,142,1
陕西省,  宝鸡市, Baoji,491,30
陕西省,  咸阳市, Xianyang,1291,58
陕西省,  渭南市, Weinan,908,61
陕西省,  延安市, Yan'an,396,12
陕西省,  汉中市, Hanzhong,99,5
陕西省,  榆林市, Yulin,623,19
陕西省,  安康市, Ankang,54,2
陕西省,  商洛市, Shangluo,40,2
甘肃省,  兰州市, Lanzhou,609,16
甘肃省,  嘉峪关市, Jiayuguan,284,18
甘肃省,  金昌市, Jinchang,20,1
甘肃省,  白银市, Baiyin,336,26
甘肃省,  天水市, Tianshui,103,7
甘肃省,  武威市, Wuwei,91,2
甘肃省,  张掖市, Zhangye,92,3
甘肃省,  平凉市, Pingliang,111,2
甘肃省,  酒泉市, Jiuquan,71,9
甘肃省,  庆阳市, Qingyang,100,2
甘肃省,  定西市, Dingxi,42,1
甘肃省,  陇南市, Longnan,48,2
青海省,  西宁市, Xining,252,12
青海省,  海东市, Haidong,16,1
宁夏回族自治区,  银川市, Yinchuan,,
宁夏回族自治区,  石嘴山市, Shizuishan,234,5
宁夏回族自治区,  吴忠市, Wuzhong,302,9
宁夏回族自治区,  固原市, Guyuan,159,2
宁夏回族自治区,  中卫市, Zhongwei,,
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,416,8
新疆维吾尔自治区,  克拉玛依市, Karamay,429,15
新疆维吾尔自治区,  吐鲁番市, Turpan,15,1
新疆维吾尔自治区,  哈密市, Hami,1,
