省份,城市,City,年末实有城市道路面积万平方米_市辖区,排水管道长度公里_市辖区,境内公路总里程公里_全市,高速公路里程公里_全市
北京市,北京市,Beijing,17037,20585,22433,1211
天津市,天津市,Tianjin,19130,25252,15221,1358
河北省,  石家庄市, Shijiazhuang,3528,21376,915,
河北省,  唐山市, Tangshan,4982,3136,20369,839
河北省,  秦皇岛市, Qinhuangdao,1930,8885,357,
河北省,  邯郸市, Handan,2348,20552,535,
河北省,  邢台市, Xingtai,1714,21830,649,
河北省,  保定市, Baoding,1188,23868,1404,
河北省,  张家口市, Zhangjiakou,606,23734,1346,
河北省,  承德市, Chengde,1294,702,25077,759
河北省,  沧州市, Cangzhou,19696,682,,
河北省,  廊坊市, Langfang,1574,978,11631,564
河北省,  衡水市, Hengshui,824,14086,360,
山西省,  太原市, Taiyuan,7118,5086,6754,292
山西省,  大同市, Datong,2387,1645,12761,562
山西省,  阳泉市, Yangquan,1003,541,5453,
山西省,  长治市, Changzhi,1650,781,12706,471
山西省,  晋城市, Jincheng,624,9848,426,
山西省,  朔州市, Shuozhou,491,10292,468,
山西省,  晋中市, Jinzhong,16250,656,,
山西省,  运城市, Yuncheng,1077,752,16572,634
山西省,  忻州市, Xinzhou,939,830,17654,917
山西省,  临汾市, Linfen,777,547,19733,774
山西省,  吕梁市, Lvliang,443,437,18139,705
内蒙古自治区,  呼和浩特市, Hohhot,3273,3329,8635,514
内蒙古自治区,  包头市, Baotou,3657,2710,9549,140
内蒙古自治区,  乌海市, Wuhai,2411,287,1083,101
内蒙古自治区,  赤峰市, Chifeng,2147,1199,30028,1006
内蒙古自治区,  通辽市, Tongliao,1255,797,23259,647
内蒙古自治区,  鄂尔多斯市, Erdos,2996,2278,25879,1311
内蒙古自治区,  呼伦贝尔市, Hulunbuir,943,440,29558,696
内蒙古自治区,  巴彦淖尔市, Bayannur,1157,721,24156,369
内蒙古自治区,  乌兰察布市, Ulanqab,1132,798,18139,986
辽宁省,  沈阳市, Shenyang,10573,7546,13667,672
辽宁省,  大连市, Dalian,7198,3315,13427,529
辽宁省,  鞍山市, Anshan,3032,1249,8006,184
辽宁省,  抚顺市, Fushun,1848,1012,6660,326
辽宁省,  本溪市, Benxi,2218,653,4726,233
辽宁省,  丹东市, Dandong,1233,690,10330,361
辽宁省,  锦州市, Jinzhou,1035,748,10497,239
辽宁省,  营口市, Yingkou,3234,2003,4553,195
辽宁省,  阜新市, Fuxin,938,701,9309,367
辽宁省,  辽阳市, Liaoyang,1968,1032,4178,159
辽宁省,  盘锦市, Panjin,1976,1291,3986,141
辽宁省,  铁岭市, Tieling,1402,458,12386,346
辽宁省,  朝阳市, Chaoyang,718,557,18897,386
辽宁省,  葫芦岛市, Huludao,1944,684,10237,229
吉林省,  长春市, Changchun,8771,6389,28364,655
吉林省,  吉林市, Jilin,15656,685,,
吉林省,  四平市, Siping,738,429,8107,413
吉林省,  辽源市, Liaoyuan,393,5311,247,
吉林省,  通化市, Tonghua,240,6278,484,
吉林省,  白山市, Baishan,608,280,6711,261
吉林省,  松原市, Songyuan,602,13932,616,
吉林省,  白城市, Baicheng,781,13481,525,
黑龙江省,  哈尔滨市, Harbin,7028,4173,25179,1077
黑龙江省,  齐齐哈尔市, Qiqihar,1247,1040,24822,600
黑龙江省,  鸡西市, Jixi,313,1097,183,
黑龙江省,  鹤岗市, Hegang,571,308,5963,10
黑龙江省,  双鸭山市, Shuangyashan,408,,,
黑龙江省,  大庆市, Daqing,3887,1914,7693,325
黑龙江省,  伊春市, Yichun,885,453,7578,167
黑龙江省,  佳木斯市, Jiamusi,593,10465,618,
黑龙江省,  七台河市, Qitaihe,489,422,2012,166
黑龙江省,  牡丹江市, Mudanjiang,1173,827,12495,448
黑龙江省,  黑河市, Heihe,256,191,16600,527
黑龙江省,  绥化市, Suihua,394,437,21599,446
上海市,上海市,Shanghai,14008,22615,12989,881
江苏省,  南京市, Nanjing,18740,10867,9893,598
江苏省,  无锡市, Wuxi,7804,13635,7327,326
江苏省,  徐州市, Xuzhou,4819,3862,15999,464
江苏省,  常州市, Changzhou,5349,10076,8411,379
江苏省,  苏州市, Suzhou,11782,11740,11322,620
江苏省,  南通市, Nantong,6278,3864,17565,486
江苏省,  连云港市, Lianyungang,2853,3467,12270,354
江苏省,  淮安市, Huai' an,4274,3540,13791,400
江苏省,  盐城市, Yancheng,3917,3009,36354,417
江苏省,  扬州市, Yangzhou,3470,4017,9687,308
江苏省,  镇江市, Zhenjiang,2153,6887,202,
江苏省,  泰州市, Taizhou,3199,2476,10205,323
江苏省,  宿迁市, Suqian,2871,2416,12389,295
浙江省,  杭州市, Hangzhou,10823,11533,16621,878
浙江省,  宁波市, Ningbo,7705,8214,11487,666
浙江省,  温州市, Wenzhou,4310,3388,15633,630
浙江省,  嘉兴市, Jiaxing,2358,2390,7599,428
浙江省,  湖州市, Huzhou,3070,2002,8181,453
浙江省,  绍兴市, Shaoxing,5656,6121,9918,593
浙江省,  金华市, Jinhua,2712,2525,13141,418
浙江省,  衢州市, Quzhou,1585,2231,8784,422
浙江省,  舟山市, Zhoushan,1594,1267,1976,70
浙江省,  台州市, Taizhou,2662,3937,13059,499
浙江省,  丽水市, Lishui,833,1186,15085,452
安徽省,  合肥市, Hefei,10340,9325,20514,623
安徽省,  芜湖市, Wuhu,4914,3529,11122,351
安徽省,  蚌埠市, Bengbu,1479,11103,272,
安徽省,  淮南市, Huainan,2320,1396,9516,211
安徽省,  马鞍山市, Ma'anshan,2151,1643,7815,194
安徽省,  淮北市, Huaibei,1682,1169,5417,91
安徽省,  铜陵市, Tongling,1538,1876,5870,158
安徽省,  安庆市, Anqing,2728,1544,26566,508
安徽省,  黄山市, Huangshan,1207,941,7768,420
安徽省,  滁州市, Chuzhou,2998,2522,20766,767
安徽省,  阜阳市, Fuyang,2766,1918,21349,284
安徽省,  宿州市, Suzhou,1969,1220,21268,354
安徽省,  六安市, Lu'an,2090,1077,25485,404
安徽省,  亳州市, Bozhou,1828,1413,18241,319
安徽省,  池州市, Chizhou,862,831,9564,327
安徽省,  宣城市, Xuancheng,16690,517,,
福建省,  福州市, Fuzhou,6578,4778,11749,764
福建省,  厦门市, Xiamen,7303,4889,2196,136
福建省,  莆田市, Putian,2084,3044,6560,261
福建省,  三明市, Sanming,964,747,16438,945
福建省,  泉州市, Quanzhou,4134,3027,19879,684
福建省,  漳州市, Zhangzhou,2549,1675,13501,716
福建省,  南平市, Nanping,1010,662,16231,1043
福建省,  龙岩市, Longyan,1224,926,15179,805
福建省,  宁德市, Ningde,846,491,13005,596
江西省,  南昌市, Nanchang,5864,2970,10574,430
江西省,  景德镇市, Jingdezhen,269,1074,735,
江西省,  萍乡市, Pingxiang,1211,892,9108,197
江西省,  九江市, Jiujiang,2708,2552,23623,320
江西省,  新余市, Xinyu,1618,1117,5013,131
江西省,  鹰潭市, Yingtan,350,5407,114,
江西省,  赣州市, Ganzhou,4291,3022,44948,1743
江西省,  吉安市, Ji'an,1350,1052,30656,916
江西省,  宜春市, Yichun,27349,863,,
江西省,  抚州市, Fuzhou,2543,2042,19328,762
江西省,  上饶市, Shangrao,2408,1730,27067,718
山东省,  济南市, Jinan,14556,9729,18357,828
山东省,  青岛市, Qingdao,15379,18977,15634,909
山东省,  淄博市, Zibo,6241,4032,11638,400
山东省,  枣庄市, Zaozhuang,3326,1619,9334,286
山东省,  东营市, Dongying,3469,2990,9361,237
山东省,  烟台市, Yantai,4547,19887,668,
山东省,  潍坊市, Weifang,4916,3173,29759,867
山东省,  济宁市, Jining,6277,3027,21390,499
山东省,  泰安市, Tai'an,3033,1578,16705,476
山东省,  威海市, Weihai,4474,3225,6993,235
山东省,  日照市, Rizhao,2215,2991,10350,223
山东省,  临沂市, Linyi,6460,4310,32557,686
山东省,  德州市, Dezhou,2690,1188,5040,569
山东省,  聊城市, Liaocheng,3384,2405,21596,474
山东省,  滨州市, Binzhou,2766,1926,17818,491
山东省,  菏泽市, Heze,1867,30262,590,
河南省,  郑州市, Zhengzhou,9822,7167,14122,633
河南省,  开封市, Kaifeng,2339,1243,10236,449
河南省,  洛阳市, Luoyang,3982,1437,20342,738
河南省,  平顶山市, Pingdingshan,1389,758,15042,478
河南省,  安阳市, Anyang,1679,1503,13247,339
河南省,  鹤壁市, Hebi,1098,707,4749,98
河南省,  新乡市, Xinxiang,1332,1161,14176,488
河南省,  焦作市, Jiaozuo,2087,1317,8169,240
河南省,  濮阳市, Puyang,1252,1007,7559,313
河南省,  许昌市, Xuchang,2579,1053,10436,287
河南省,  漯河市, Luohe,1312,1295,5758,173
河南省,  三门峡市, Sanmenxia,786,713,10475,426
河南省,  南阳市, Nanyang,2722,2173,42005,898
河南省,  商丘市, Shangqiu,2231,1972,25145,583
河南省,  信阳市, Xinyang,2268,1259,28373,629
河南省,  周口市, Zhoukou,1866,1561,24977,593
河南省,  驻马店市, Zhumadian,1678,2036,22705,215
湖北省,  武汉市, Wuhan,14000,16809,969,
湖北省,  黄石市, Huangshi,2118,1187,8609,332
湖北省,  十堰市, Shiyan,1919,1339,31210,620
湖北省,  宜昌市, Yichang,3354,1956,38488,729
湖北省,  襄阳市, Xiangyang,3117,2254,33490,816
湖北省,  鄂州市, Ezhou,813,891,3807,207
湖北省,  荆门市, Jingmen,1498,1178,16057,443
湖北省,  孝感市, Xiaogan,1736,1213,18740,544
湖北省,  荆州市, Jingzhou,2550,1408,25329,712
湖北省,  黄冈市, Huanggang,606,471,34877,799
湖北省,  咸宁市, Xianning,1309,482,30,
湖北省,  随州市, Suizhou,13784,335,,
湖南省,  长沙市, Changsha,8662,7120,16398,779
湖南省,  株洲市, Zhuzhou,3472,2575,13936,490
湖南省,  湘潭市, Xiangtan,1666,1596,7984,284
湖南省,  衡阳市, Hengyang,2476,1717,21202,697
湖南省,  邵阳市, Shaoyang,1394,735,22662,616
湖南省,  岳阳市, Yueyang,990,1969,20851,658
湖南省,  常德市, Changde,2514,2255,22823,539
湖南省,  张家界市, Zhangjiajie,490,629,9283,185
湖南省,  益阳市, Yiyang,1838,1152,16542,524
湖南省,  郴州市, Chenzhou,1502,1901,18101,579
湖南省,  永州市, Yongzhou,1460,888,23211,492
湖南省,  怀化市, Huaihua,870,837,20908,812
湖南省,  娄底市, Loudi,1254,791,15159,395
广东省,  广州市, Guangzhou,38587,8421,1199,
广东省,  韶关市, Shaoguan,1365,1926,17388,766
广东省,  深圳市, Shenzhen,15055,20833,721,392
广东省,  珠海市, Zhuhai,4934,6253,1526,248
广东省,  汕头市, Shantou,2605,5074,4099,229
广东省,  佛山市, Foshan,16527,5533,560,
广东省,  江门市, Jiangmen,3391,3999,10017,615
广东省,  湛江市, Zhanjiang,1633,1733,22960,505
广东省,  茂名市, Maoming,1296,19518,452,
广东省,  肇庆市, Zhaoqing,1964,14305,695,
广东省,  惠州市, Huizhou,5138,4419,13976,924
广东省,  梅州市, Meizhou,808,21044,752,
广东省,  汕尾市, Shanwei,708,491,6031,252
广东省,  河源市, Heyuan,721,1246,17666,712
广东省,  阳江市, Yangjiang,1755,1568,10891,378
广东省,  清远市, Qingyuan,1016,1224,20866,1104
广东省,  东莞市, Dongguan,3542,399,,
广东省,  中山市, Zhongshan,2853,134,,
广东省,  潮州市, Chaozhou,1012,1121,5656,209
广东省,  揭阳市, Jieyang,2320,8012,389,
广东省,  云浮市, Yunfu,1029,9017,427,
广西壮族自治区,  南宁市, Nanning,8973,6680,18909,1372
广西壮族自治区,  柳州市, Liuzhou,4663,2189,12283,640
广西壮族自治区,  桂林市, Guilin,2142,681,19141,833
广西壮族自治区,  梧州市, Wuzhou,1692,942,9269,563
广西壮族自治区,  北海市, Beihai,1714,1268,4050,188
广西壮族自治区,  防城港市, Fangchenggang,985,1204,4748,204
广西壮族自治区,  钦州市, Qinzhou,1557,1140,10661,448
广西壮族自治区,  贵港市, Guigang,11597,511,,
广西壮族自治区,  玉林市, Yulin,1372,937,13571,521
广西壮族自治区,  百色市, Baise,1137,934,27878,1186
广西壮族自治区,  贺州市, Hezhou,894,819,7056,365
广西壮族自治区,  河池市, Hechi,824,899,23543,986
广西壮族自治区,  来宾市, Laibin,906,785,9498,588
广西壮族自治区,  崇左市, Chongzuo,596,630,10813,665
海南省,  海口市, Haikou,1337,3235,5183,158
海南省,  三亚市, Sanya,555,61,,
海南省,  三沙市, Sansha,,,,
海南省,  儋州市, Danzhou,4020,141,,
重庆市,重庆市,Chongqing,27582,26336,186598,4142
四川省,  成都市, Chengdu,10654,19500,27962,1240
四川省,  自贡市, Zigong,2383,1978,10342,287
四川省,  攀枝花市, Panzhihua,1355,5152,233,
四川省,  泸州市, Luzhou,2677,2048,21820,603
四川省,  德阳市, Deyang,1953,1620,10715,360
四川省,  绵阳市, Mianyang,3092,3164,24992,709
四川省,  广元市, Guangyuan,1093,1082,24526,575
四川省,  遂宁市, Suining,1961,1470,14556,386
四川省,  内江市, Neijiang,1415,14464,387,
四川省,  乐山市, Leshan,1381,1138,16993,511
四川省,  南充市, Nanchong,2565,1980,31131,570
四川省,  眉山市, Meishan,1227,953,9757,463
四川省,  宜宾市, Yibin,2167,1875,27261,593
四川省,  广安市, Guang'an,961,236,17141,199
四川省,  达州市, Dazhou,775,800,30310,547
四川省,  雅安市, Ya'an,1148,641,8544,377
四川省,  巴中市, Bazhong,1287,723,26208,426
四川省,  资阳市, Ziyang,745,1013,14216,380
贵州省,  贵阳市, Guiyang,7082,13872,710,
贵州省,  六盘水市, Liupanshui,1229,16036,468,
贵州省,  遵义市, Zunyi,3777,2827,41665,1644
贵州省,  安顺市, Anshun,1680,1421,14307,485
贵州省,  毕节市, Bijie,778,896,36653,1172
贵州省,  铜仁市, Tongren,1132,747,27800,1027
云南省,  昆明市, Kunming,7542,5386,23082,1277
云南省,  曲靖市, Qujing,3835,1366,30411,1095
云南省,  玉溪市, Yuxi,1269,18183,740,
云南省,  保山市, Baoshan,965,499,22421,531
云南省,  昭通市, Zhaotong,717,29289,911,
云南省,  丽江市, Lijiang,540,688,12320,451
云南省,  普洱市, Pu'er,497,661,29834,579
云南省,  临沧市, Lincang,458,23142,417,
西藏自治区,  拉萨市, Lhasa,,,,
西藏自治区,  日喀则市, Xigaze,174,21910,35,
西藏自治区,  昌都市, Qamdo,67,20128,26,
西藏自治区,  林芝市, Nyingchi,90,7463,,
西藏自治区,  山南市, Lhoka,119,9667,90,
西藏自治区,  那曲市, Nagqu,162,35863,106,
陕西省,  西安市, Xi'an,15482,8013,13474,604
陕西省,  铜川市, Tongchuan,577,546,4514,279
陕西省,  宝鸡市, Baoji,1707,1270,18424,541
陕西省,  咸阳市, Xianyang,539,66,17489,597
陕西省,  渭南市, Weinan,726,568,20602,598
陕西省,  延安市, Yan'an,718,21203,1095,
陕西省,  汉中市, Hanzhong,902,548,25087,639
陕西省,  榆林市, Yulin,1550,1350,35849,1157
陕西省,  安康市, Ankang,837,471,26273,757
陕西省,  商洛市, Shangluo,328,279,20513,532
甘肃省,  兰州市, Lanzhou,2954,1320,10344,462
甘肃省,  嘉峪关市, Jiayuguan,719,71,,
甘肃省,  金昌市, Jinchang,1004,134,2516,174
甘肃省,  白银市, Baiyin,1043,600,12273,314
甘肃省,  天水市, Tianshui,1066,774,14353,417
甘肃省,  武威市, Wuwei,541,234,13257,634
甘肃省,  张掖市, Zhangye,2541,503,14092,349
甘肃省,  平凉市, Pingliang,562,11337,525,
甘肃省,  酒泉市, Jiuquan,778,430,17690,1083
甘肃省,  庆阳市, Qingyang,714,298,16791,496
甘肃省,  定西市, Dingxi,310,216,12900,518
甘肃省,  陇南市, Longnan,276,347,19468,644
青海省,  西宁市, Xining,1900,2170,5300,250
青海省,  海东市, Haidong,651,,,
宁夏回族自治区,  银川市, Yinchuan,3220,941,5482,456
宁夏回族自治区,  石嘴山市, Shizuishan,280,2892,116,
宁夏回族自治区,  吴忠市, Wuzhong,608,328,9987,628
宁夏回族自治区,  固原市, Guyuan,827,997,11173,327
宁夏回族自治区,  中卫市, Zhongwei,588,149,8965,616
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,6615,3841,2940,336
新疆维吾尔自治区,  克拉玛依市, Karamay,1812,711,1229,261
新疆维吾尔自治区,  吐鲁番市, Turpan,5648,449,,
新疆维吾尔自治区,  哈密市, Hami,669,422,10274,1127
