省份,城市,City,社会消费品零售总额_全市,社会消费品零售总额_市辖区,限额以上单位商品零售额_全市,限额以上单位商品零售额_市辖区,限额以上批发零售业商品销售总额_全市,限额以上批发零售业商品销售总额_市辖区
北京市,北京市,Beijing,144626607,144626607,96636951,96636951,906022993,906022993
天津市,天津市,Tianjin,38206695,38206695,23262778,23262778,473980474,473980474
河北省,  石家庄市, Shijiazhuang,28752066,21560557,10742283,9403737,85103767,56583753
河北省,  唐山市, Tangshan,23853384,14033482,4245562,3619059,68736249,57659179
河北省,  秦皇岛市, Qinhuangdao,6671256,4780032,1787914,1723757,14384311,13450383
河北省,  邯郸市, Handan,14121829,6731042,3117134,2637621,9908270,6170369
河北省,  邢台市, Xingtai,10978779,4065101,2731648,1961854,7292160,4475127
河北省,  保定市, Baoding,18701806,8308927,5609231,3962336,11673640,7485926
河北省,  张家口市, Zhangjiakou,6927392,4916278,1801343,1261213,7800296,7009194
河北省,  承德市, Chengde,5598298,2285026,1371121,1000655,3084381,2315289
河北省,  沧州市, Cangzhou,12763693,4731009,4068145,2202350,15416075,5782100
河北省,  廊坊市, Langfang,15043983,3835252,5727903,3985340,15038826,10861822
河北省,  衡水市, Hengshui,6992580,3233671,1887784,1481797,5291720,3949686
山西省,  太原市, Taiyuan,19128768,17978796,11463403,11294391,77953271,73537389
山西省,  大同市, Datong,7622195,6127493,1624496,1513580,23899915,22856540
山西省,  阳泉市, Yangquan,3325689,2099193,691835,594238,7493186,6911269
山西省,  长治市, Changzhi,7181616,5171824,2106105,1748737,22473643,12616597
山西省,  晋城市, Jincheng,5757300,3450915,1790140,1109004,14872634,5878680
山西省,  朔州市, Shuozhou,3593195,1641071,739186,525052,7784208,3669845
山西省,  晋中市, Jinzhong,6844935,2728556,2023957,1386939,12445165,4746668
山西省,  运城市, Yuncheng,8302788,2920456,2777432,950476,10801075,2463821
山西省,  忻州市, Xinzhou,4508292,1522853,985378,658210,10750109,3426037
山西省,  临汾市, Linfen,8197078,3100415,1940310,1104732,20090085,7104203
山西省,  吕梁市, Lvliang,5356075,761648,1096966,317491,13331876,2228909
内蒙古自治区,  呼和浩特市, Hohhot,12025873,10210453,4273297,3192940,15404076,10300198
内蒙古自治区,  包头市, Baotou,11148860,10279087,2525425,2480660,13092780,11644317
内蒙古自治区,  乌海市, Wuhai,1395811,1395811,434983,434983,1866073,1866073
内蒙古自治区,  赤峰市, Chifeng,6427163,3370648,1398306,1070832,5468672,3111959
内蒙古自治区,  通辽市, Tongliao,3443663,1169169,1139377,542608,4557283,1723396
内蒙古自治区,  鄂尔多斯市, Erdos,6713954,3312385,2586044,1992121,31474745,18347868
内蒙古自治区,  呼伦贝尔市, Hulunbuir,3330342,1190714,853709,551864,4602039,1757970
内蒙古自治区,  巴彦淖尔市, B ayannur,2342144,1142901,487906,430180,4064881,1493068
内蒙古自治区,  乌兰察布市, Ulanqab,2503434,1000860,435609,266326,1574196,1032038
辽宁省,  沈阳市, Shenyang,42104014,39781448,19436952,19102818,141481881,140027489
辽宁省,  大连市, Dalian,20085546,17717539,7201241,7087388,53733854,44395874
辽宁省,  鞍山市, Anshan,8619591,3691186,2487284,1678941,10902695,8257106
辽宁省,  抚顺市, Fushun,1919549,1645359,593450,581477,2899790,2762213
辽宁省,  本溪市, Benxi,1598144,12181867,494354,447582,1888928,1742650
辽宁省,  丹东市, Dandong,2943996,1624816,949716,614851,1487794,1197451
辽宁省,  锦州市, Jinzhou,3856380,2736550,1728848,1535751,5016894,4502274
辽宁省,  营口市, Yingkou,4609327,3068944,1486516,1166741,8950412,7194857
辽宁省,  阜新市, Fuxin,2454107,1836722,519813,442386,2303189,1740968
辽宁省,  辽阳市, Liaoyang,3131755,1813448,794749,706776,2942731,2540812
辽宁省,  盘锦市, Panjin,3976216,3677990,1035837,972944,10688427,10082554
辽宁省,  铁岭市, Tieling,2065612,1033075,708783,536998,1958455,1190986
辽宁省,  朝阳市, Chaoyang,3390985,1454514,1139884,833674,5297720,1549147
辽宁省,  葫芦岛市, Huludao,2865325,1533941,852995,607844,4433854,1802770
吉林省,  长春市, Changchun,21098496,18748393,10147946,9917281,40723622,39980131
吉林省,  吉林市, Jilin,5554687,4089989,1568864,1431779,5253245,4609093
吉林省,  四平市, Siping,1810655,1008150,560264,438821,1649549,1301500
吉林省,  辽源市, Liaoyuan,1280510,817120,319047,244168,1418221,460292
吉林省,  通化市, Tonghua,1828927,1032443,537178,440272,1975517,1755493
吉林省,  白山市,Baishan,1347418,771174,325169,270282,747325,638612
吉林省,  松原市, Songyuan,2571977,948948,940890,384876,2319188,979058
吉林省,  白城市, Baicheng,1605633,844219,416039,316681,1189975,846777
黑龙江省,  哈尔滨市, Harbin,23840008,20503558,8730952,8755393,43881640,41704300
黑龙江省,  齐齐哈尔市, Qiqihar,3573514,1819182,1299461,887929,8732138,2154415
黑龙江省,  鸡西市, Jixi,2355452,1481994,740160,473931,1939825,1203522
黑龙江省,  鹤岗市, Hegang,959335,708550,423694,397826,855111,696082
黑龙江省,  双鸭山市, Shuangyashan,989733,358991,335900,135568,904207,509465
黑龙江省,  大庆市, Daqing,7240741,6014221,2389465,2092508,24907088,24221746
黑龙江省,  伊春市, Yichun,1231445,651411,174688,137270,1412841,1303915
黑龙江省,  佳木斯市, Jiamusi,2473123,1266900,1847451,985965,7000624,1934788
黑龙江省,  七台河市, Qitaihe,742523,555059,292460,268588,1041532,915696
黑龙江省,  牡丹江市, Mudanjiang,7706477,2709322,1451566,961826,5710594,1738506
黑龙江省,  黑河市, Heihe,1243400,146376,242984,122541,3705477,2781929
黑龙江省,  绥化市, Suihua,3568663,774543,785545,435376,2259299,431784
上海市,上海市,Shanghai,185155000,185155000,130669987,130669987,1539240112,1539240112
江苏省,  南京市, Nanjing,82010665,82010665,44969227,44969227,213277570,213277570
江苏省,  无锡市, Wuxi,35675524,22649506,16723095,11747510,209934957,109501568
江苏省,  徐州市, Xuzhou,44451152,20604097,11204453,6322094,60706037,32729269
江苏省,  常州市, Changzhou,30501260,26473699,10653548,9743090,82844162,75122850
江苏省,  苏州市, Suzhou,95829174,51898301,34573278,20459258,301202115,143999365
江苏省,  南通市, Nantong,42151415,21656537,11538886,7507200,78668761,44132869
江苏省,  连云港市, Lianyungang,12772531,8107634,4635082,3602269,29812163,25179079
江苏省,  淮安市, Huai'an,18963196,12828433,5009741,3444920,16890222,11140957
江苏省,  盐城市, Yancheng,28725281,12614361,7441689,4347202,37849000,19288000
江苏省,  扬州市, Yangzhou,16606387,11216958,8821101,6936829,29388003,18774270
江苏省,  镇江市, Zhenjiang,14817430,7219870,4155641,2891273,23028124,15841600
江苏省,  泰州市, Taizhou,17097101,7390213,8037548,4116839,53022616,27051270
江苏省,  宿迁市, Suqian,15873873,8080494,5026639,3743232,22132291,14237090
浙江省,  杭州市, Hangzhou,76706000,72514000,50112348,48963314,456726001,450536968
浙江省,  宁波市, Ningbo,52125598,33353788,19450983,14923237,508390453,445443265
浙江省,  温州市, Wenzhou,42570829,18115272,12450887,6066979,121521176,75972742
浙江省,  嘉兴市, Jiaxing,25134600,6766839,7667631,3693060,67749672,23978505
浙江省,  湖州市, Huzhou,17079193,9279196,6193819,4254440,57802650,18543409
浙江省,  绍兴市, Shaoxing,28203518,16887069,8168674,5753639,83379671,57185281
浙江省,  金华市, Jinhua,31417568,8118061,9104597,3705610,47346305,16806355
浙江省,  衢州市, Quzhou,9707664,3603425,2794676,1765879,15583549,8901140
浙江省,  舟山市, Zhoushan,6178449,4806527,1012154,973540,63338798,60374118
浙江省,  台州市, Taizhou,27662319,10261559,6777809,3050671,52003400,29066055
浙江省,  丽水市, Lishui,8716386,2543056,2053250,1055654,32454065,13469047
安徽省,  合肥市, Hefei,52708287,38009054,23152813,19338824,97885805,87168889
安徽省,  芜湖市, Wuhu,20917683,16993668,5429991,4823695,39785259,33150926
安徽省,  蚌埠市, Bengbu,13476261,8132474,2212938,1890680,7350246,5354534
安徽省,  淮南市, Huainan,9226603,5965238,1323147,1047457,5093723,4514786
安徽省,  马鞍山市, Ma'anshan,10476628,5717142,1595068,1239787,8072302,6538610
安徽省,  淮北市, Huaibei,5246101,3588302,1119541,942872,7330528,6105796
安徽省,  铜陵市, Tongling,4330260,3294333,995693,844443,9373940,8833924
安徽省,  安庆市, Anqing,14091426,5056287,3029478,2064782,10174117,8083465
安徽省,  黄山市, Huangshan,5286016,2802445,869502,682565,1911308,1553093
安徽省,  滁州市, Chuzhou,16943515,3870755,3223133,1591932,11626165,5416727
安徽省,  阜阳市, Fuyang,25021325,9305512,3412040,2324879,8014404,5298530
安徽省,  宿州市, Suzhou,13123818,5293720,1946296,1386081,6226301,5134632
安徽省,  六安市, Lu'an,12839192,6336902,2937503,2095980,5913826,3533456
安徽省,  亳州市, Bozhou,13015711,4594607,1520407,1094476,7580436,6028631
安徽省,  池州市, Chizhou,4862453,2725419,1127417,922053,3670882,3218033
安徽省,  宣城市, Xuancheng,8517224,2728442,1618489,1025207,3900060,2609645
福建省,  福州市, Fuzhou,49637645,38288387,22188040,18641420,142013028,107242342
福建省,  厦门市, Xiamen,27433333,27433333,16413747,16413747,380381982,380381982
福建省,  莆田市, Putian,18726378,14702488,3906031,3370042,25499260,21031382
福建省,  三明市, Sanming,9141710,3382222,1209838,805186,12073748,9779066
福建省,  泉州市, Quanzhou,62713430,13089598,16685158,5069836,110102300,22186993
福建省,  漳州市, Zhangzhou,20800927,10067451,4391000,2846684,37910346,29231563
福建省,  南平市, Nanping,8425616,2272420,1263690,736823,4527409,2844768
福建省,  龙岩市, Longyan,14870841,6862397,3489226,2086690,25285245,15838781
福建省,  宁德市, Ningde,9345775,1834639,1474145,439001,15545543,2816320
江西省,  南昌市, Nanchang,32024098,25950545,18107200,15368883,70667354,58445741
江西省,  景德镇市, Jingdezhen,6061107,3589357,1669672,813607,3485971,1294914
江西省,  萍乡市, Pingxiang,4385100,3095581,1393879,1102702,3171238,2727405
江西省,  九江市, Jiujiang,15775694,6127527,5053019,2067394,8942513,4528915
江西省,  新余市, Xinyu,4613394,3633775,1184495,1069581,5461671,5256874
江西省,  鹰潭市, Yingtan,4567658,3077601,1468660,1111753,9145570,4810147
江西省,  赣州市, Ganzhou,22230406,11148472,6375718,3028045,18214881,11519438
江西省,  吉安市, Ji'an,11716473,3839544,4129430,1843358,8035468,3260372
江西省,  宜春市, Yichun,11729685,3552687,2935051,1454338,13175390,5257362
江西省,  抚州市, Fuzhou,7120486,3353233,2114589,888881,9278861,5321616
江西省,  上饶市, Shangrao,16373409,6047611,4108025,1793465,12731223,6429894
山东省,  济南市, Jinan,51990277,50248166,18404305,18173001,136978852,134781883
山东省,  青岛市, Qingdao,63189388,49337115,23040132,18653362,239373747,214421773
山东省,  淄博市, Zibo,14181147,10551638,4522389,4063870,49578112,44708349
山东省,  枣庄市, Zaozhuang,11286224,6634643,2896893,2154779,11035596,7268129
山东省,  东营市, Dongying,8420134,6222430,2946634,2619506,57442986,31118396
山东省,  烟台市, Yantai,35456551,18202480,8544023,6589684,62795056,45459648
山东省,  潍坊市, Weifang,29361243,10401116,8067775,5235144,49936712,26238125
山东省,  济宁市, Jining,27327367,9962773,5843530,3933757,35371674,16436617
山东省,  泰安市, Tai'an,12868257,4821568,3226480,2105030,30453760,17437532
山东省,  威海市, Weihai,13643862,8359395,4361890,3889321,14563808,13246779
山东省,  日照市, Rizhao,7165860,4904641,1667097,1637849,31367745,26832008
山东省,  临沂市, Linyi,32266932,18487653,7571821,5930024,39934074,29145549
山东省,  德州市, Dezhou,14023748,4370800,3477971,1947861,16469321,6896643
山东省,  聊城市, Liaocheng,10137365,5728423,2847545,2310869,19235972,15759689
山东省,  滨州市, Binzhou,9097498,3347175,2492776,1563568,34474339,8313671
山东省,  菏泽市, Heze,21002480,6444984,3858321,2120903,18326482,5882883
河南省,  郑州市, Zhengzhou,56230738,39653078,21902573,20075710,103251748,88314074
河南省,  开封市, Kaifeng,11748087,5686939,1574552,1007599,3678932,2499771
河南省,  洛阳市, Luoyang,24543083,15233541,4717274,4130953,23317332,19746742
河南省,  平顶山市, Pingdingshan,11841811,4552387,3406257,1878704,8925000,5446584
河南省,  安阳市, Anyang,9592561,3986673,1612835,894895,9468122,4584032
河南省,  鹤壁市, Hebi,3459410,1842812,653287,449568,3198908,2254146
河南省,  新乡市, Xinxiang,11303219,4195249,2959286,2124350,8848048,5336919
河南省,  焦作市, Jiaozuo,9385034,3154171,1347791,1028554,7766789,3303913
河南省,  濮阳市, Puyang,7779821,3446442,1843819,1042185,5357208,3291936
河南省,  许昌市, Xuchang,13727191,5624067,2263815,1901119,6687471,3671336
河南省,  漯河市, Luohe,7858655,5673672,1319134,1129077,6779836,6118972
河南省,  三门峡市, Sanmenxia,5699541,2026039,753283,593061,4961377,3574758
河南省,  南阳市, Nanyang,24053460,8784820,3579390,2132020,12059976,5597480
河南省,  商丘市, Shangqiu,15921720,6442839,2701719,1745231,8727341,4400521
河南省,  信阳市, Xinyang,13292206,3970709,2759408,1867562,5245483,3374215
河南省,  周口市, Zhoukou,19546003,4652356,3189433,1913105,7011228,4287507
河南省,  驻马店市, Zhumadian,11987420,3334186,2265190,1417482,5140306,3523030
湖北省,  武汉市, Wuhan,75319041,75319041,38972059,38972059,170895354,170895354
湖北省,  黄石市, Huangshi,10699157,5424525,1627232,1248331,8897188,4703789
湖北省,  十堰市, Shiyan,14030500,8205817,3610781,2952648,8731195,6676272
湖北省,  宜昌市, Yichang,20315415,10380793,7466715,4325279,24793507,12644668
湖北省,  襄阳市, Xiangyang,21966377,10648485,7984648,4734060,14513846,9253891
湖北省,  鄂州市, Ezhou,3867090,3867090,1854799,1854799,4028825,4028825
湖北省,  荆门市, Jingmen,10421300,4247300,3212427,1623858,7493465,4880818
湖北省,  孝感市, Xiaogan,13517298,2691880,3284653,1994287,11829527,4745887
湖北省,  荆州市, Jingzhou,18150767,7020549,4591357,2409942,10272224,5289335
湖北省,  黄冈市, Huanggang,15768807,2176214,3554579,1705019,7585881,3749754
湖北省,  咸宁市, Xianning,8753228,2191676,1510617,607488,4554658,2345152
湖北省,  随州市, Suizhou,6886300,4098400,3188900,1752600,5144600,3092000
湖南省,  长沙市, Changsha,55616667,38505440,18567463,15352853,67394998,55387552
湖南省,  株洲市, Zhuzhou,13618500,7204589,3822245,2519312,10719558,8141142
湖南省,  湘潭市, Xiangtan,8849999,5415412,3674289,2890610,8171846,7152653
湖南省,  衡阳市, Hengyang,19651544,9442418,3226019,2383517,7418657,5237865
湖南省,  邵阳市, Shaoyang,14983211,2949717,6669537,1630705,7551984,3393408
湖南省,  岳阳市, Yueyang,20333320,10571865,5666354,2798023,19210857,14872651
湖南省,  常德市, Changde,17795129,7191897,4282203,2528931,7635306,5463694
湖南省,  张家界市, Zhangjiajie,2231892,1251591,615136,452861,1100513,915699
湖南省,  益阳市, Yiyang,9017038,4040066,3414746,1751982,5812091,3428076
湖南省,  郴州市, Chenzhou,11684146,4385516,3710845,1901490,9821460,6619685
湖南省,  永州市, Yongzhou,9033884,3087257,2970059,1284632,4785814,2693670
湖南省,  怀化市, Huaihua,7692868,3219543,1884411,1401477,4134927,3216748
湖南省,  娄底市, Loudi,8642046,2583938,2222565,1213344,5844395,2448950
广东省,  广州市, Guangzhou,110126200,110126200,54193621,54193621,633171523,633171523
广东省,  韶关市, Shaoguan,5067481,2432305,1174852,899842,7166289,4007193
广东省,  深圳市, Shenzhen,104861913,104861913,48020930,48020930,474985363,474985363
广东省,  珠海市, Zhuhai,10789715,10789715,4932611,4932611,53609649,53609649
广东省,  汕头市, Shantou,15462767,15262854,2589151,2586961,20919324,20870981
广东省,  佛山市, Foshan,37344765,37344765,11841847,11841847,183126355,183126355
广东省,  江门市, Jiangmen,13478996,6498049,4415446,3200632,16119544,12144521
广东省,  湛江市, Zhanjiang,19505415,10097918,2596952,2247721,13127235,11847552
广东省,  茂名市, Maoming,15999916,8460794,2028684,1573489,19168262,18139974
广东省,  肇庆市, Zhaoqing,11806016,6708268,3910954,3686580,13568106,9223393
广东省,  惠州市, Huizhou,21448951,12723163,7313517,6539573,26772770,24831107
广东省,  梅州市, Meizhou,6948080,3069142,1210117,1062041,3845248,2776384
广东省,  汕尾市, Shanwei,4914524,1171342,779886,496714,2033890,1264371
广东省,  河源市, Heyuan,3881366,1382208,982601,355234,2340582,1905360
广东省,  阳江市, Yangjiang,5029064,2913891,1056248,895014,3799202,2914621
广东省,  清远市, Qingyuan,6014050,3582646,1781581,1534349,7593572,
广东省,  东莞市, Dongguan,44081163,15983104,78516922,,,
广东省,  中山市, Zhongshan,16439079,5730527,24529204,,,
广东省,  潮州市, Chaozhou,5089681,3971624,749789,687627,2209479,1932371
广东省,  揭阳市, Jieyang,10988474,5374644,2404899,1611028,9496382,6928135
广东省,  云浮市, Yunfu,3974970,1416715,828730,560551,825980,560337
广西壮族自治区,  南宁市, Nanning,24247984,21829646,9865253,9706049,84089561,83096431
广西壮族自治区,  柳州市, Liuzhou,12961935,10846037,3027554,2807885,17228408,16725482
广西壮族自治区,  桂林市, Guilin,9422165,5043144,2224552,1532511,6109748,4863732
广西壮族自治区,  梧州市, Wuzhou,3177469,1750750,970173,687103,5412833,5002776
广西壮族自治区,  北海市, Beihai,3480278,3040344,935482,792050,4195628,3566364
广西壮族自治区,  防城港市, Fangchenggang,1383072,1079441,291284,258688,8413992,8131366
广西壮族自治区,  钦州市, Qinzhou,4887294,2982278,917186,764771,20656911,20243241
广西壮族自治区,  贵港市, Guigang,4686221,2715227,1058372,831979,4858277,3787700
广西壮族自治区,  玉林市, Yulin,8759989,5027264,1875820,1295342,7525723,5364789
广西壮族自治区,  百色市, Baise,4232660,1987690,1140106,745723,11387719,7662618
广西壮族自治区,  贺州市, Hezhou,2029102,1388693,540633,474328,2782149,2661663
广西壮族自治区,  河池市, Hechi,3155047,1452229,905806,676505,6344070,4113637
广西壮族自治区,  来宾市, Laibin,1488869,669062,400741,303537,3353894,2745074
广西壮族自治区,  崇左市, Chongzuo,2603646,705687,501638,280739,3972761,1873079
海南省,  海口市, Haikou,10888309,10888309,7457220,7457220,77945651,77945651
海南省,  三亚市, Sanya,4928808,4928808,4117733,4117733,25421243,25421243
海南省,  三沙市, Sansha,,,,,,
海南省,  儋州市, Danzhou,1295681,66372,108748006,,,
重庆市,重庆市,Chongqing,151302535,126522141,44400791,39455490,217180418,202931003
四川省,  成都市, Chengdu,100016254,86306239,45552651,40405293,171992893,160562678
四川省,  自贡市, Zigong,7467137,4565281,1837040,1227905,5681837,4648654
四川省,  攀枝花市, Panzhihua,3158624,2398647,1180672,1105129,9148415,7794663
四川省,  泸州市, Luzhou,13161623,8605430,6487033,4622257,28246062,17816269
四川省,  德阳市, Deyang,11140708,3602794,3087776,1352087,2436611,7365857
四川省,  绵阳市, Mianyang,18223623,10469426,4923369,4237205,20045317,17651196
四川省,  广元市, Guangyuan,5019794,2496227,1358327,1044178,3501338,3114189
四川省,  遂宁市, Suining,6239576,2976515,2252659,1574007,5324446,3607083
四川省,  内江市, Neijiang,7038383,3116831,1683745,1217392,8667116,2891948
四川省,  乐山市, Leshan,9943719,4539427,3441957,2031659,8196703,5213251
四川省,  南充市, Nanchong,16531074,7652616,4743767,3017188,6641370,4574315
四川省,  眉山市, Meishan,6452091,3058410,1566994,1169002,5874772,3385460
四川省,  宜宾市, Yibin,12450679,6708945,2993060,2209457,2006835,9483429
四川省,  广安市, Guang'an,6840777,2489399,1455298,752683,3180094,2134372
四川省,  达州市, Dazhou,14627129,5331773,4918074,2279124,7726767,4374235
四川省,  雅安市, Ya'an,3358817,1491358,723809,568147,3634933,1576263
四川省,  巴中市, Bazhong,5421668,2348218,1250583,772203,2031041,1431106
四川省,  资阳市, Ziyang,4708606,1741347,826776,489995,2358274,1801968
贵州省,  贵阳市, Guiyang,25267738,21696320,10648430,10355447,44532574,41576038
贵州省,  六盘水市, Liupanshui,5068596,2988467,1111498,800280,7363773,3102755
贵州省,  遵义市, Zunyi,13682291,7716551,5262671,2952494,31777867,7524530
贵州省,  安顺市, Anshun,5732385,3777304,915432,794343,2226506,1963120
贵州省,  毕节市, Bijie,11449930,3870938,1474472,997951,7677904,3367593
贵州省,  铜仁市, Tongren,7768702,2434775,972308,793861,2195342,1849748
云南省,  昆明市, Kunming,35742832,29463622,13849249,13285665,85347942,80722681
云南省,  曲靖市, Qujing,12705965,5070176,2884379,2249689,14866087,12724989
云南省,  玉溪市, Yuxi,7886578,3167216,1376869,1100375,10485690,6583434
云南省,  保山市, Baoshan,5659866,2788999,1481583,866869,3043351,2109068
云南省,  昭通市, Zhaotong,5303655,1855211,1555871,1139286,3108470,2394209
云南省,  丽江市, Lijiang,2848874,1382163,877655,489627,1599268,1226317
云南省,  普洱市, Pu'er,3532741,1266539,963033,686494,2968333,2000845
云南省,  临沧市, Lincang,4130819,1142621,1174971,481735,2671645,1550483
西藏自治区,  拉萨市, Lhasa,4277408,3515806,1130663,928152,2427967,893243
西藏自治区,  日喀则市, Xigaze,1669800,1190264,398700,254522,678200,654900
西藏自治区,  昌都市, Qamdo,896021,245615,239024,440648,,
西藏自治区,  林芝市, Nyingchi,626395,428336,124781,109724,340478,327741
西藏自治区,  山南市, Lhoka,802331,542663,145026,132996,271318,271318
西藏自治区,  那曲市, Nagqu,331724,71200,134383,133854,134383,133854
陕西省,  西安市, Xi'an,48116043,47370397,26193413,26069288,145794173,145644393
陕西省,  铜川市, Tongchuan,1738111,1634148,475398,428640,1916939,1648638
陕西省,  宝鸡市, Baoji,9638210,6265540,2614027,2042677,12822969,11682806
陕西省,  咸阳市, Xianyang,13191910,4031286,3035343,1178483,7489316,4163120
陕西省,  渭南市, Weinan,7652977,3029518,2418631,1374040,9912768,3576234
陕西省,  延安市, Yan'an,4458626,2643747,1821594,1349797,4285478,3253192
陕西省,  汉中市, Hanzhong,6828444,3094994,2392095,1191993,4548403,3077226
陕西省,  榆林市, Yulin,7724307,3009376,2863745,1556892,45513177,19570293
陕西省,  安康市, Ankang,5511685,2048565,1898538,936972,2792596,1919260
陕西省,  商洛市, Shangluo,2196211,648373,909763,257883,1635932,777008
甘肃省,  兰州市, Lanzhou,17963314,16264294,5224331,4893558,79932577,51668959
甘肃省,  嘉峪关市, Jiayuguan,950074,261933,3952952,,,
甘肃省,  金昌市, Jinchang,1119924,743899,304514,250280,977463,807751
甘肃省,  白银市, Baiyin,2067416,1282418,1073501,710698,2381657,1887416
甘肃省,  天水市, Tianshui,3057704,1755837,1287419,1118109,2693345,2463071
甘肃省,  武威市, Wuwei,1849163,1118464,521721,483050,1671713,1458468
甘肃省,  张掖市, Zhangye,2709346,1507934,1030099,873850,2043235,1538619
甘肃省,  平凉市, Pingliang,2152247,1020384,548142,458638,1019259,877355
甘肃省,  酒泉市, Jiuquan,3454465,1741899,1290830,1060025,5111398,1536650
甘肃省,  庆阳市, Qingyang,2063973,849487,790816,716508,1389312,1265936
甘肃省,  定西市, Dingxi,2163419,804372,550463,388013,1333487,803041
甘肃省,  陇南市, Longnan,1996768,966289,498943,380301,1473695,829183
青海省,  西宁市, Xining,6248066,6064953,2814637,2793962,16023467,13971614
青海省,  海东市, Haidong,1382351,536790,266683,238955,620707,556755
宁夏回族自治区,  银川市, Yinchuan,8064634,5977790,3285355,2061655,12860742,7754700
宁夏回族自治区,  石嘴山市, Shizuishan,1031518,713184,142704,101107,1688839,1377280
宁夏回族自治区,  吴忠市, Wuzhong,1840060,901748,297016,241340,422921,220755
宁夏回族自治区,  固原市, Guyuan,1287000,749448,334193,214714,857408,539067
宁夏回族自治区,  中卫市, Zhongwei,1326249,605269,175823,68044,1442860,688330
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,12313373,12177885,6536085,6535727,100368157,100362357
新疆维吾尔自治区,  克拉玛依市, Karamay,1226969,1226969,504233,504233,1913197,1913197
新疆维吾尔自治区,  吐鲁番市, Turpan,721978,408048,338984,199849,1561331,840148
新疆维吾尔自治区,  哈密市, Hami,1274730,1154094,718264,715064,4977285,3154179
