省份,城市,City,规模以上工业企业单位数
河北省,  辛集市, Xinji,282
河北省,  晋州市, Jinzhou,251
河北省,  新乐市, Xinle,148
河北省,  遵化市, Zunhua,167
河北省,  迁安市, Qian'an,166
河北省,  滦州市, Luanzhou,93
河北省,  武安市, Wu'an,209
河北省,  南宫市, Nangong,69
河北省,  沙河市, Shahe,112
河北省,  涿州市, Zhuozhou,144
河北省,  定州市, Dingzhou,227
河北省,  安国市, Anguo,121
河北省,  高碑店市, Gaobeidian,98
河北省,  平泉市, Pingquan,62
河北省,  泊头市, Botou,257
河北省,  任丘市, Renqiu,463
河北省,  黄骅市, Huanghua,347
河北省,  河间市, Hejian,279
河北省,  霸州市, Bazhou,285
河北省,  三河市, Sanhe,162
河北省,  深州市, Shenzhou,115
山西省,  古交市, Gujiao,59
山西省,  高平市, Gaoping,131
山西省,  怀仁市, Huairen,143
山西省,  介休市, Jiexiu,187
山西省,  永济市, Yongji,95
山西省,  河津市, Hejin,139
山西省,  原平市, Yuanping,75
山西省,  侯马市, Houma,55
山西省,  霍州市, Huozhou,31
山西省,  孝义市, Xiaoyi,181
山西省,  汾阳市, Fenyang,78
内蒙古自治区,  霍林郭勒市, Huolinguole,43
内蒙古自治区,  满洲里市, Manzhouli,10
内蒙古自治区,  牙克石市, Yakeshi,9
内蒙古自治区,  扎兰屯市, Zhalantun,13
内蒙古自治区,  额尔古纳市, Eerguna,6
内蒙古自治区,  根河市, Genhe,5
内蒙古自治区,  丰镇市, Fengzhen,44
内蒙古自治区,  乌兰浩特市, Wulanhaote,41
内蒙古自治区,  阿尔山市, Aershan,1
内蒙古自治区,  二连浩特市, Erlianhaote,15
内蒙古自治区,  锡林浩特市, Xilinhaote,50
辽宁省,  新民市, Xinmin,125
辽宁省,  瓦房店市, Wafangdian,267
辽宁省,  庄河市, Zhuanghe,156
辽宁省,  海城市, Haicheng,349
辽宁省,  东港市, Donggang,160
辽宁省,  凤城市, Fengcheng,103
辽宁省,  凌海市, Linghai,50
辽宁省,  北镇市, Beizhen,38
辽宁省,  盖州市, Gaizhou,87
辽宁省,  大石桥市, Dashiqiao,287
辽宁省,  灯塔市, Dengta,58
辽宁省,  调兵山市, Diaobingshan,37
辽宁省,  开原市, Kaiyuan,48
辽宁省,  北票市, Beipiao,72
辽宁省,  凌源市, Lingyuan,60
辽宁省,  兴城市, Xingcheng,57
吉林省,  榆树市, Yushu,51
吉林省,  德惠市, Dehui,62
吉林省,  公主岭市, Gongzhuling,111
吉林省,  蛟河市, Jiaohe,36
吉林省,  桦甸市, Huadian,35
吉林省,  舒兰市, Shulan,54
吉林省,  磐石市, Panshi,57
吉林省,  双辽市, Shuangliao,28
吉林省,  梅河口市, Meihekou,76
吉林省,  集安市, Ji'an,31
吉林省,  临江市, Linjiang,26
吉林省,  扶余市, Fuyu,31
吉林省,  洮南市, Taonan,29
吉林省,  大安市, Daan,30
吉林省,  延吉市, Yanji,54
吉林省,  图们市, Tumen,22
吉林省,  敦化市, Dunhua,76
吉林省,  珲春市, Hunchun,73
吉林省,  龙井市, Longjing,20
吉林省,  和龙市, Helong,28
黑龙江省,  尚志市, Shangzhi,47
黑龙江省,  五常市, Wuchang,153
黑龙江省,  讷河市, Nehe,34
黑龙江省,  虎林市, Hulin,56
黑龙江省,  密山市, Mishan,50
黑龙江省,  铁力市, Tieli,20
黑龙江省,  同江市, Tongjiang,37
黑龙江省,  富锦市, Fujin,74
黑龙江省,  抚远市, Fuyuan,10
黑龙江省,  绥芬河市, Suifenhe,77
黑龙江省,  海林市, Hailin,41
黑龙江省,  宁安市, Ning'an,42
黑龙江省,  穆棱市, Muling,51
黑龙江省,  东宁市, Dongning,31
黑龙江省,  北安市, Bei'an,33
黑龙江省,  五大连池市, Wudalianchi,21
黑龙江省,  嫩江市, Nenjiang,22
黑龙江省,  安达市, Anda,76
黑龙江省,  肇东市, Zhaodong,49
黑龙江省,  海伦市, Hailun,39
黑龙江省,  漠河市, Mohe,8
江苏省,  江阴市, Jiangyin,2463
江苏省,  宜兴市, Yixing,1585
江苏省,  新沂市, Xinyi,421
江苏省,  邳州市, Pizhou,542
江苏省,  溧阳市, Liyang,701
江苏省,  常熟市, Changshu,1842
江苏省,  张家港市, Zhangjiagang,1566
江苏省,  昆山市, Kunshan,2678
江苏省,  太仓市, Taicang,1265
江苏省,  启东市, Qidong,758
江苏省,  如皋市, Rugao,1024
江苏省,  海安市, Haian,1315
江苏省,  东台市, Dongtai,720
江苏省,  仪征市, Yizheng,603
江苏省,  高邮市, Gaoyou,763
江苏省,  丹阳市, Danyang,1060
江苏省,  扬中市, Yangzhong,493
江苏省,  句容市, Jurong,314
江苏省,  兴化市, Xinghua,788
江苏省,  靖江市, Jingjiang,730
江苏省,  泰兴市, Taixing,826
浙江省,  建德市, Jiande,412
浙江省,  余姚市, Yuyao,1575
浙江省,  慈溪市, Cixi,2228
浙江省,  瑞安市, Rui'an,1559
浙江省,  乐清市, Yueqing,2046
浙江省,  龙港市, Longgang,478
浙江省,  海宁市, Haining,1623
浙江省,  平湖市, Pinghu,883
浙江省,  桐乡市, Tongxiang,1252
浙江省,  诸暨市, Zhuji,1315
浙江省,  嵊州市, Shengzhou,745
浙江省,  兰溪市, Lanxi,612
浙江省,  义乌市, Yiwu,864
浙江省,  东阳市, Dongyang,696
浙江省,  永康市, Yongkang,1006
浙江省,  江山市, Jiangshan,421
浙江省,  温岭市, Wenling,1344
浙江省,  临海市, Linhai,664
浙江省,  玉环市, Yuhuan,1063
浙江省,  龙泉市, Longquan,164
安徽省,  巢湖市, Chaohu,184
安徽省,  无为市, Wuwei,266
安徽省,  桐城市, Tongcheng,457
安徽省,  潜山市, Qianshan,164
安徽省,  天长市, Tianchang,693
安徽省,  明光市, Mingguang,193
安徽省,  界首市, Jieshou,245
安徽省,  宁国市, Ningguo,433
安徽省,  广德市, Guangde,538
福建省,  福清市, Fuqing,558
福建省,  永安市, Yong'an,257
福建省,  石狮市, Shishi,637
福建省,  晋江市, Jinjiang,2603
福建省,  南安市, Nan'an,1384
福建省,  邵武市, Shaowu,148
福建省,  武夷山市, Wuyishan,71
福建省,  建瓯市, Jian'ou,146
福建省,  漳平市, Zhangping,152
福建省,  福安市, Fu'an,271
福建省,  福鼎市, Fuding,268
江西省,  乐平市, Leping,205
江西省,  瑞昌市, Ruichang,277
江西省,  共青城市, Gongqingcheng,199
江西省,  庐山市, Lushan,133
江西省,  贵溪市, Guixi,210
江西省,  瑞金市, Ruijin,122
江西省,  龙南市, Longnan,209
江西省,  井冈山市, Jinggangshan,59
江西省,  丰城市, Fengcheng,371
江西省,  樟树市, Zhangshu,339
江西省,  高安市, Gaoan,286
江西省,  德兴市, Dexing,227
山东省,  胶州市, Jiaozhou,935
山东省,  平度市, Pingdu,531
山东省,  莱西市, Laixi,355
山东省,  滕州市, Tengzhou,411
山东省,  龙口市, Longkou,329
山东省,  莱阳市, Laiyang,280
山东省,  莱州市, Laizhou,303
山东省,  招远市, Zhaoyuan,177
山东省,  栖霞市, Qixia,83
山东省,  海阳市, Haiyang,236
山东省,  青州市, Qingzhou,421
山东省,  诸城市, Zhucheng,505
山东省,  寿光市, Shouguang,474
山东省,  安丘市, Anqiu,389
山东省,  高密市, Gaomi,468
山东省,  昌邑市, Changyi,312
山东省,  曲阜市, Qufu,203
山东省,  邹城市, Zoucheng,257
山东省,  新泰市, Xintai,332
山东省,  肥城市, Feicheng,260
山东省,  荣成市, Rongcheng,304
山东省,  乳山市, Rushan,155
山东省,  乐陵市, Laoling,143
山东省,  禹城市, Yucheng,208
山东省,  临清市, Linqing,250
山东省,  邹平市, Zouping,467
河南省,  巩义市, Gongyi,558
河南省,  荥阳市, Xingyang,283
河南省,  新密市, Xinmi,308
河南省,  新郑市, Xinzheng,269
河南省,  登封市, Dengfeng,242
河南省,  舞钢市, Wugang,67
河南省,  汝州市, Ruzhou,196
河南省,  林州市, Linzhou,195
河南省,  卫辉市, Weihui,110
河南省,  辉县市, Huixian,253
河南省,  长垣市, Changyuan,314
河南省,  沁阳市, Qinyang,186
河南省,  孟州市, Mengzhou,130
河南省,  禹州市, Yuzhou,541
河南省,  长葛市, Changge,544
河南省,  义马市, Yima,54
河南省,  灵宝市, Lingbao,123
河南省,  邓州市, Dengzhou,208
河南省,  永城市, Yongcheng,345
河南省,  项城市, Xiangcheng,249
河南省,  济源市, Jiyuan,279
湖北省,  大冶市, Daye,530
湖北省,  丹江口市, Danjiangkou,217
湖北省,  宜都市, Yidu,301
湖北省,  当阳市, Dangyang,258
湖北省,  枝江市, Zhijiang,276
湖北省,  老河口市, Laohekou,279
湖北省,  枣阳市, Zaoyang,323
湖北省,  宜城市, Yicheng,203
湖北省,  钟祥市, Zhongxiang,259
湖北省,  京山市, Jingshan,312
湖北省,  应城市, Yingcheng,167
湖北省,  安陆市, Anlu,135
湖北省,  汉川市, Hanchuan,553
湖北省,  石首市, Shishou,161
湖北省,  洪湖市, Honghu,179
湖北省,  松滋市, Songzi,182
湖北省,  监利市, Jianli,201
湖北省,  麻城市, Macheng,347
湖北省,  武穴市, Wuxue,200
湖北省,  赤壁市, Chibi,250
湖北省,  广水市, Guangshui,213
湖北省,  恩施市, Enshi,149
湖北省,  利川市, Lichuan,84
湖北省,  仙桃市, Xiantao,544
湖北省,  潜江市, Qianjiang,328
湖北省,  天门市, Tianmen,290
湖南省,  浏阳市, Liuyang,947
湖南省,  宁乡市, Ningxiang,606
湖南省,  醴陵市, Liling,623
湖南省,  湘乡市, Xiangxiang,333
湖南省,  韶山市, Shaoshan,95
湖南省,  耒阳市, Leiyang,171
湖南省,  常宁市, Changning,159
湖南省,  武冈市, Wugang,120
湖南省,  邵东市, Shaodong,681
湖南省,  汨罗市, Miluo,230
湖南省,  临湘市, Linxiang,211
湖南省,  津市市, Jinshi,165
湖南省,  沅江市, Yuanjiang,188
湖南省,  资兴市, Zixing,157
湖南省,  祁阳市, Qiyang,195
湖南省,  洪江市, Hongjiang,127
湖南省,  冷水江市, Lengshuijiang,82
湖南省,  涟源市, Lianyuan,193
湖南省,  吉首市, Jishou,110
广东省,  乐昌市, Lechang,87
广东省,  南雄市, Nanxiong,80
广东省,  台山市, Taishan,324
广东省,  开平市, Kaiping,438
广东省,  鹤山市, Heshan,638
广东省,  恩平市, Enping,185
广东省,  廉江市, Lianjiang,191
广东省,  雷州市, Leizhou,65
广东省,  吴川市, Wuchuan,128
广东省,  高州市, Gaozhou,163
广东省,  化州市, Huazhou,125
广东省,  信宜市, Xinyi,54
广东省,  四会市, Sihui,617
广东省,  兴宁市, Xingning,95
广东省,  陆丰市, Lufeng,97
广东省,  阳春市, Yangchun,77
广东省,  英德市, Yingde,233
广东省,  连州市, Lianzhou,70
广东省,  普宁市, Puning,350
广东省,  罗定市, Luoding,84
广西壮族自治区,  横州市, Hengzhou,181
广西壮族自治区,  荔浦市, Lipu,84
广西壮族自治区,  岑溪市, Cenxi,189
广西壮族自治区,  东兴市, Dongxing,36
广西壮族自治区,  桂平市, Guiping,169
广西壮族自治区,  北流市, Beiliu,245
广西壮族自治区,  靖西市, Jingxi,46
广西壮族自治区,  平果市, Pingguo,117
广西壮族自治区,  合山市, Heshan,33
广西壮族自治区,  凭祥市, Pingxiang,71
海南省,  五指山市, Wuzhishan,4
海南省,  琼海市, Qionghai,16
海南省,  文昌市, Wenchang,33
海南省,  万宁市, Wanning,63
海南省,  东方市, Dongfang,28
四川省,  都江堰市, Dujiangyan,154
四川省,  彭州市, Pengzhou,245
四川省,  邛崃市, Qionglai,192
四川省,  崇州市, Chongzhou,273
四川省,  简阳市, Jianyang,143
四川省,  广汉市, Guanghan,403
四川省,  什邡市, Shifang,270
四川省,  绵竹市, Mianzhu,176
四川省,  江油市, Jiangyou,256
四川省,  射洪市, Shehong,140
四川省,  隆昌市, Longchang,156
四川省,  峨眉山市, Emeishan,95
四川省,  阆中市, Langzhong,98
四川省,  华蓥市, Huaying,99
四川省,  万源市, Wanyuan,75
四川省,  马尔康市, Maerkang,6
四川省,  康定市, Kangding,21
四川省,  西昌市, Xichang,104
四川省,  会理市, Huili,42
贵州省,  清镇市, Qingzhen,118
贵州省,  盘州市, Panzhou,203
贵州省,  赤水市, Chishui,75
贵州省,  仁怀市, Renhuai,150
贵州省,  黔西市, Qianxi,39
贵州省,  兴义市, Xingyi,163
贵州省,  兴仁市, Xingren,56
贵州省,  凯里市, Kaili,104
贵州省,  都匀市, Duyun,53
贵州省,  福泉市, Fuquan,91
云南省,  安宁市, Anning,144
云南省,  宣威市, Xuanwei,114
云南省,  澄江市, Chengjiang,32
云南省,  腾冲市, Tengchong,63
云南省,  水富市, Shuifu,20
云南省,  楚雄市, Chuxiong,88
云南省,  禄丰市, Lufeng,46
云南省,  个旧市, Gejiu,91
云南省,  开远市, Kaiyuan,107
云南省,  蒙自市, Mengzi,65
云南省,  弥勒市, Mile,72
云南省,  文山市, Wenshan,43
云南省,  景洪市, Jinghong,72
云南省,  大理市, Dali,67
云南省,  瑞丽市, Ruili,27
云南省,  芒市, Mangshi,43
云南省,  泸水市, Lushui,17
云南省,  香格里拉市, Shangri-la,18
西藏自治区,  米林市, Milin,1
西藏自治区,  错那市, Cuona,
陕西省,  兴平市, Xingping,161
陕西省,  彬州市, Binzhou,46
陕西省,  韩城市, Hancheng,99
陕西省,  华阴市, Huayin,25
陕西省,  子长市, Zichang,36
陕西省,  神木市, Shenmu,353
陕西省,  旬阳市, Xunyang,75
甘肃省,  华亭市, Huating,23
甘肃省,  玉门市, Yumen,89
甘肃省,  敦煌市, Dunhuang,30
甘肃省,  临夏市, Linxia,16
甘肃省,  合作市, Hezuo,9
青海省,  同仁市, Tongren,4
青海省,  玉树市, Yushu,
青海省,  格尔木市, Golmud,75
青海省,  德令哈市, Delingha,46
青海省,  茫崖市, Mangya,16
宁夏回族自治区,  灵武市, Lingwu,170
宁夏回族自治区,  青铜峡市, Qingtongxia,98
新疆维吾尔自治区,  昌吉市, Changji,173
新疆维吾尔自治区,  阜康市, Fukang,88
新疆维吾尔自治区,  博乐市, Bole,57
新疆维吾尔自治区,  阿拉山口市, Alashankou,39
新疆维吾尔自治区,  库尔勒市, Korla,96
新疆维吾尔自治区,  阿克苏市, Akesu,130
新疆维吾尔自治区,  库车市, Kuche,92
新疆维吾尔自治区,  阿图什市, Artux,26
新疆维吾尔自治区,  喀什市, Kashi,51
新疆维吾尔自治区,  和田市, Hetian,30
新疆维吾尔自治区,  伊宁市, Yining,43
新疆维吾尔自治区,  奎屯市, Kuitun,45
新疆维吾尔自治区,  霍尔果斯市, Horgos,32
新疆维吾尔自治区,  塔城市, Tacheng,14
新疆维吾尔自治区,  乌苏市, Wusu,39
新疆维吾尔自治区,  沙湾市, Shawan,33
新疆维吾尔自治区,  阿勒泰市, Aletai,10
新疆维吾尔自治区,  石河子市, Shihezi,113
新疆维吾尔自治区,  阿拉尔市, Alar,173
新疆维吾尔自治区,  图木舒克市, Tumushuke,95
新疆维吾尔自治区,  五家渠市, Wujiaqu,65
新疆维吾尔自治区,  北屯市, Beitun,21
新疆维吾尔自治区,  铁门关市, Tiemenguan,97
新疆维吾尔自治区,  双河市, Shuanghe,35
新疆维吾尔自治区,  可克达拉市, Cocodala,31
新疆维吾尔自治区,  昆玉市, Kunyu,14
新疆维吾尔自治区,  胡杨河市, Huyanghe,74
新疆维吾尔自治区,  新星市, Xinxing,128
新疆维吾尔自治区,  白杨市, Baiyang,7
